Time(s),Range(km),Range_Rate(km/s),Station_ID
27620.0,4638.88770919731633,2.83496138277949,1
27630.0,4667.36034925839340,2.86021476922042,1
27640.0,4696.09020502986277,2.88491533709797,1
27650.0,4725.05876505354627,2.90906996478607,1
27660.0,4754.26876510208695,2.93269065518460,1
27670.0,4783.71133626086339,2.95578240013338,1
27680.0,4813.38392105584444,2.97835132953696,1
27690.0,4843.27694742326912,3.00041167316741,1
27700.0,4873.38990141600971,3.02196748474739,1
27710.0,4903.71489056635528,3.04302939924645,1
27720.0,4934.24731558675558,3.06360514335224,1
27730.0,4964.98489942316974,3.08369811342066,1
27740.0,4995.91959424530796,3.10332232990961,1
27750.0,5027.05049080361550,3.12248332107432,1
27760.0,5058.36788768928091,3.14118846138911,1
27770.0,5089.87266851127424,3.15944775773906,1
27780.0,5121.55548315015949,3.17726541579337,1
27790.0,5153.41555821655311,3.19465164919664,1
27800.0,5185.44790921833555,3.21161413772432,1
27810.0,5217.64938263362819,3.22815819748941,1
27820.0,5250.01006787975984,3.24429395194903,1
27830.0,5282.53139010478480,3.26002866983148,1
27840.0,5315.20840261268950,3.27536631304263,1
27850.0,5348.04073689069173,3.29031705105385,1
27860.0,5381.01520220666316,3.30488871864024,1
27870.0,5414.13493258090239,3.31908468345904,1
27880.0,5447.39536559220232,3.33291151067478,1
27890.0,5480.79227878159418,3.34638155307525,1
27900.0,5514.32213166491056,3.35949561095334,1
27910.0,5547.98017380397414,3.37226344162237,1
27920.0,5581.76421578461213,3.38468801067663,1
27930.0,5615.67185726933076,3.39677913135975,1
27940.0,5649.69794940550128,3.40854555153884,1
27950.0,5683.84267657793589,3.41998310559679,1
27960.0,5718.09886919600740,3.43110780612732,1
27970.0,5752.46354089505348,3.44191869559037,1
27980.0,5786.93644134901933,3.45242641593988,1
27990.0,5821.51117537210757,3.46263555212558,1
28000.0,5856.18725089912823,3.47255045434972,1
28010.0,5890.96033384891962,3.48217344538409,1
28020.0,5925.82997492854884,3.49151699691540,1
28030.0,5960.78960156136873,3.50057785401739,1
28040.0,5995.84043985356220,3.50936747506959,1
28050.0,6030.97706255413414,3.51788823497728,1
28060.0,6066.19738606402552,3.52614721710226,1
28070.0,6101.49913293461759,3.53414480762683,1
28080.0,6136.87899246862980,3.54189050292203,1
28090.0,6172.33509378783765,3.54938992690062,1
28100.0,6207.86722913841368,3.55663783573360,1
28110.0,6243.46884534020501,3.56364705372542,1
28120.0,6279.13922775787978,3.57042319800731,1
28130.0,6314.87719491649932,3.57696343231737,1
28140.0,6350.67562311336224,3.58327843006431,1
28150.0,6386.54010158971596,3.58936635870025,1
28160.0,6422.46366833540924,3.59523455552544,1
28170.0,6458.44577343236870,3.60088819022838,1
28180.0,6494.48047233888701,3.60632940232327,1
28190.0,6530.56944102374200,3.61156127264084,1
28200.0,6566.71293471469744,3.61658749667417,1
28210.0,6602.90202296725965,3.62141201022167,1
28220.0,6639.13934976353721,3.62603987523086,1
29150.0,6645.85410542556383,-3.63382931597058,3
29160.0,6609.53793990049962,-3.62927032449441,3
29170.0,6573.26957277915972,-3.62450909183277,3
29180.0,6537.04842874231599,-3.61955018232670,3
29190.0,6500.87984614652305,-3.61438125874622,3
29200.0,6464.76136015876546,-3.60900244872606,3
29210.0,6428.69903483347844,-3.60341571785873,3
29220.0,6392.69522406217766,-3.59760851920463,3
29230.0,6356.74831406037720,-3.59158112335136,3
29240.0,6320.86178470655432,-3.58532826009306,3
29250.0,6285.04145094931027,-3.57884545154756,3
29260.0,6249.28766533189537,-3.57213058860554,3
29270.0,6213.59935917252096,-3.56517923744643,3
29280.0,6177.98396606222013,-3.55798859427782,3
29290.0,6142.44031317071040,-3.55054833183312,3
29300.0,6106.97469079355778,-3.54286111936026,3
29310.0,6071.58459169498747,-3.53491336372423,3
29320.0,6036.27639869735685,-3.52671153598892,3
29330.0,6001.05351334530042,-3.51824248329103,3
29340.0,5965.91294013484458,-3.50950529310730,3
29350.0,5930.86263322475315,-3.50049419536128,3
29360.0,5895.90450876900468,-3.49120157745044,3
29370.0,5861.04057305963124,-3.48162647885370,3
29380.0,5826.27060268317109,-3.47175928957063,3
29390.0,5791.60545731427192,-3.46159929251860,3
29400.0,5757.04192430134026,-3.45113822402315,3
29410.0,5722.58420327434123,-3.44036837016877,3
29420.0,5688.23463462661675,-3.42928703163250,3
29430.0,5653.99763413987330,-3.41788833976407,3
29440.0,5619.87669601104881,-3.40616414670971,3
29450.0,5585.87590740822179,-3.39411151973421,3
29460.0,5551.99867646767234,-3.38172404541331,3
29470.0,5518.24340380399826,-3.36899044102577,3
29480.0,5484.61734180525309,-3.35590968002409,3
29490.0,5451.12584098002935,-3.34247268466254,3
29500.0,5417.77012610197471,-3.32867490710196,3
29510.0,5384.55419440896821,-3.31450611141807,3
29520.0,5351.48208113818873,-3.29996233331118,3
29530.0,5318.55494376223032,-3.28503660373092,3
29540.0,5285.78173189296103,-3.26971917815848,3
29550.0,5253.16335005203200,-3.25400643617084,3
29560.0,5220.70459555763864,-3.23788841147275,3
29570.0,5188.40729484502663,-3.22135799615981,3
29580.0,5156.27677449612474,-3.20440956408483,3
29590.0,5124.32013818656651,-3.18703342083238,3
29600.0,5092.53788952289415,-3.16922440045981,3
29610.0,5060.93849238588609,-3.15097305845882,3
29620.0,5029.51876611654370,-3.13226856445428,3
29630.0,4998.29345328728323,-3.11310900965170,3
29640.0,4967.26240174509257,-3.09348309076611,3
29650.0,4936.42469328120478,-3.07338181826087,3
