t,rho,rhodot,elev_deg,station_id,sc_lat_deg,sc_lon_deg,sc_alt_m
5.30000000000000000e+02,3.97382619274752687e+03,8.20981606012783138e-01,5.87547313250045988e+01,2,3.35153616719549561e+01,7.91301804834360833e+00,3.61239316575701378e+03
5.40000000000000000e+02,3.98229557436233199e+03,8.72863945019364151e-01,5.84097225159935007e+01,2,3.36576905619860156e+01,8.27142277820733618e+00,3.61240832416663034e+03
5.50000000000000000e+02,3.99128207293240121e+03,9.24379250764286953e-01,5.80485258461451821e+01,2,3.37987246573565869e+01,8.63114589526119147e+00,3.61242377271488840e+03
5.60000000000000000e+02,4.00078221507768421e+03,9.75509149398446906e-01,5.76719719302620248e+01,2,3.39384527696264300e+01,8.99218657152388801e+00,3.61243951138383454e+03
5.70000000000000000e+02,4.01079047472743332e+03,1.02623230691921274e+00,5.72808874326760957e+01,2,3.40768637102765055e+01,9.35454366376849222e+00,3.61245554013953551e+03
5.80000000000000000e+02,4.02130424756335333e+03,1.07653910750131288e+00,5.68760907882918332e+01,2,3.42139462932151588e+01,9.71821570833524717e+00,3.61247185893197457e+03
5.90000000000000000e+02,4.03232111521292109e+03,1.12640639592012937e+00,5.64583884594253291e+01,2,3.43496893373453318e+01,1.00832009160048059e+01,3.61248846769496413e+03
6.00000000000000000e+02,4.04383210582144511e+03,1.17582072250811054e+00,5.60285717133479153e+01,2,3.44840816691925269e+01,1.04494971669394516e+01,3.61250536634604941e+03
6.10000000000000000e+02,4.05583614838660105e+03,1.22476906149712494e+00,5.55874138964817490e+01,2,3.46171121255933585e+01,1.08171020056988887e+01,3.61252255478642655e+03
6.20000000000000000e+02,4.06832716241385515e+03,1.27323712231638164e+00,5.51356681746044401e+01,2,3.47487695564440671e+01,1.11860126363377947e+01,3.61254003290083892e+03
6.30000000000000000e+02,4.08129910790614076e+03,1.32120934499072984e+00,5.46740657039645441e+01,2,3.48790428275087194e+01,1.15562259175925774e+01,3.61255780055751165e+03
6.40000000000000000e+02,4.09475002018659416e+03,1.36867683418403785e+00,5.42033141955886180e+01,2,3.50079208232861845e+01,1.19277383581643406e+01,3.61257585760805159e+03
6.50000000000000000e+02,4.10867085725862398e+03,1.41562419450840760e+00,5.37240968339698242e+01,2,3.51353924499357646e+01,1.23005461121064474e+01,3.61259420388736362e+03
6.60000000000000000e+02,4.12305893918785296e+03,1.46204491300490935e+00,5.32370715114726494e+01,2,3.52614466382599971e+01,1.26746449743232574e+01,3.61261283921357790e+03
6.70000000000000000e+02,4.13790922260108255e+03,1.50792436809217656e+00,5.27428703408787882e+01,2,3.53860723467446405e+01,1.30500303761887899e+01,3.61263176338795347e+03
6.80000000000000000e+02,4.15321657076274096e+03,1.55325586285735229e+00,5.22420994102963050e+01,2,3.55092585646541394e+01,1.34266973812923140e+01,3.61265097619481821e+03
6.90000000000000000e+02,4.16897289466902839e+03,1.59803142617169369e+00,5.17353387469307364e+01,2,3.56309943151820505e+01,1.38046406813197873e+01,3.61267047740146882e+03
7.00000000000000000e+02,4.18517523265054297e+03,1.64224447289275011e+00,5.12231424588036788e+01,2,3.57512686586551709e+01,1.41838545920782995e+01,3.61269026675811801e+03
7.10000000000000000e+02,4.20181455158097833e+03,1.68588564137326635e+00,5.07060390262419105e+01,2,3.58700706957901048e+01,1.45643330496719052e+01,3.61271034399780001e+03
7.20000000000000000e+02,4.21889061865763051e+03,1.72894568447659935e+00,5.01845317177421890e+01,2,3.59873895710010032e+01,1.49460696068375043e+01,3.61273070883631044e+03
7.30000000000000000e+02,4.23639161526055977e+03,1.77142575304297867e+00,4.96590991075562727e+01,2,3.61032144757571203e+01,1.53290574294478184e+01,3.61275136097212453e+03
7.40000000000000000e+02,4.25431752018806401e+03,1.81331820312719993e+00,4.91301956749607740e+01,2,3.62175346519886290e+01,1.57132892931911083e+01,3.61277230008633342e+03
7.50000000000000000e+02,4.27265827185466969e+03,1.85461378029751822e+00,4.85982524676580354e+01,2,3.63303393955391698e+01,1.60987575804345688e+01,3.61279352584258049e+03
7.60000000000000000e+02,4.29140858792355721e+03,1.89531827547704923e+00,4.80636778140401972e+01,2,3.64416180596632344e+01,1.64854542772802937e+01,3.61281503788698501e+03
7.70000000000000000e+02,4.31056228046229171e+03,1.93542451957827999e+00,4.75268580711513309e+01,2,3.65513600585668499e+01,1.68733709708219166e+01,3.61283683584808568e+03
7.80000000000000000e+02,4.33011379687497265e+03,1.97492856777799042e+00,4.69881583970781378e+01,2,3.66595548709895098e+01,1.72624988466098870e+01,3.61285891933676612e+03
7.90000000000000000e+02,4.35005937505018665e+03,2.01382865585783311e+00,4.64479235382009108e+01,2,3.67661920438252707e+01,1.76528286863337875e+01,3.61288128794621116e+03
8.00000000000000000e+02,4.37038761601964325e+03,2.05213085702492437e+00,4.59064786232462936e+01,2,3.68712611957811092e+01,1.80443508657292853e+01,3.61290394125182320e+03
8.10000000000000000e+02,4.39109942017954381e+03,2.08982498117158189e+00,4.53641299574145904e+01,2,3.69747520210700671e+01,1.84370553527178558e+01,3.61292687881119309e+03
8.20000000000000000e+02,4.41218151387033322e+03,2.12691503984565999e+00,4.48211658110176145e+01,2,3.70766542931372456e+01,1.88309317057874708e+01,3.61295010016401829e+03
8.30000000000000000e+02,4.43363549331920240e+03,2.16340459294883258e+00,4.42778571980777897e+01,2,3.71769578684156485e+01,1.92259690726211119e+01,3.61297360483206830e+03
8.40000000000000000e+02,4.45544833282765558e+03,2.19928973958437757e+00,4.37344586412121075e+01,2,3.72756526901100713e+01,1.96221561889815206e+01,3.61299739231911008e+03
8.50000000000000000e+02,4.47761682430135079e+03,2.23457504145532848e+00,4.31912089198784912e+01,2,3.73727287920057805e+01,2.00194813778587957e+01,3.61302146211088257e+03
8.60000000000000000e+02,4.50013930881308988e+03,2.26926036954817834e+00,4.26483317997025679e+01,2,3.74681763022997245e+01,2.04179325488886150e+01,3.61304581367503306e+03
8.70000000000000000e+02,4.52300234493988955e+03,2.30334926603031853e+00,4.21060367411501844e+01,2,3.75619854474512138e+01,2.08174971980477785e+01,3.61307044646105896e+03
8.80000000000000000e+02,4.54620464665197778e+03,2.33684649923736210e+00,4.15645195862726666e+01,2,3.76541465560492554e+01,2.12181624076337911e+01,3.61309535990029144e+03
8.90000000000000000e+02,4.56973715466145586e+03,2.36975217784400138e+00,4.10239632226381588e+01,2,3.77446500626935801e+01,2.16199148465351172e+01,3.61312055340583174e+03
9.00000000000000000e+02,4.59359650559703186e+03,2.40207203915420875e+00,4.04845382238880021e+01,2,3.78334865118861785e+01,2.20227407707980625e+01,3.61314602637250937e+03
9.10000000000000000e+02,4.61777946095539119e+03,2.43380473879393078e+00,3.99464034666245027e+01,2,3.79206465619303899e+01,2.24266260244968123e+01,3.61317177817684933e+03
9.20000000000000000e+02,4.64227225282612562e+03,2.46496367413838868e+00,3.94097067235595162e+01,2,3.80061209888339633e+01,2.28315560409115079e+01,3.61319780817703395e+03
9.30000000000000000e+02,4.66707651105283185e+03,2.49554335475160949e+00,3.88745852330333790e+01,2,3.80899006902130779e+01,2.32375158440201659e+01,3.61322411571286466e+03
9.40000000000000000e+02,4.69218022902122812e+03,2.52555762121657379e+00,3.83411662451611619e+01,2,3.81719766891937553e+01,2.36444900503091162e+01,3.61325070010572199e+03
9.50000000000000000e+02,4.71758462587356462e+03,2.55500216522337631e+00,3.78095675449803323e+01,2,3.82523401383072610e+01,2.40524628709068722e+01,3.61327756065854737e+03
9.60000000000000000e+02,4.74328011320601490e+03,2.58389131928513560e+00,3.72798979530678096e+01,2,3.83309823233759133e+01,2.44614181140451947e+01,3.61330469665580313e+03
9.70000000000000000e+02,4.76925972585735326e+03,2.61222404218223581e+00,3.67522578041654526e+01,2,3.84078946673856407e+01,2.48713391878513761e+01,3.61333210736344336e+03
9.80000000000000000e+02,4.79551996655749826e+03,2.64000518190479960e+00,3.62267394044086757e+01,2,3.84830687343417210e+01,2.52822091034750720e+01,3.61335979202889575e+03
9.90000000000000000e+02,4.82205679476642763e+03,2.66724268619647065e+00,3.57034274677931975e+01,2,3.85564962331040206e+01,2.56940104785524461e+01,3.61338774988102523e+03
1.00000000000000000e+03,4.84886372215447136e+03,2.69394619708256933e+00,3.51823995325420924e+01,2,3.86281690211977775e+01,2.61067255410104408e+01,3.61341598013012117e+03
1.01000000000000000e+03,4.87593424137208240e+03,2.72011555230084756e+00,3.46637263580553920e+01,2,3.86980791085963460e+01,2.65203361332125667e+01,3.61344448196787926e+03
1.02000000000000000e+03,4.90326447581517550e+03,2.74575794402684714e+00,3.41474723031324743e+01,2,3.87662186614719175e+01,2.69348237164482249e+01,3.61347325456737599e+03
1.03000000000000000e+03,4.93084689690157302e+03,2.77088350866242950e+00,3.36336956861624756e+01,2,3.88325800059103869e+01,2.73501693757660043e+01,3.61350229708304687e+03
1.04000000000000000e+03,4.95868129604433307e+03,2.79549739397120423e+00,3.31224491279742637e+01,2,3.88971556315865072e+01,2.77663538251520734e+01,3.61353160865069185e+03
1.05000000000000000e+03,4.98675736977571523e+03,2.81960228031832383e+00,3.26137798780323180e+01,2,3.89599381953953454e+01,2.81833574130527573e+01,3.61356118838744078e+03
1.06000000000000000e+03,5.01507007040507597e+03,2.84320900883233918e+00,3.21077301246536209e+01,2,3.90209205250361819e+01,2.86011601282414283e+01,3.61359103539176249e+03
1.07000000000000000e+03,5.04361790299293716e+03,2.86632093059122450e+00,3.16043372899084929e+01,2,3.90800956225449170e+01,2.90197416060277256e+01,3.61362114874344297e+03
1.08000000000000000e+03,5.07239617904154056e+03,2.88894510142528294e+00,3.11036343098526125e+01,2,3.91374566677710334e+01,2.94390811348082053e+01,3.61365152750357629e+03
1.09000000000000000e+03,5.10139841787166733e+03,2.91109035972899211e+00,3.06056499007215805e+01,2,3.91929970217951933e+01,2.98591576629553366e+01,3.61368217071457912e+03
1.10000000000000000e+03,5.13061668338273103e+03,2.93276278411755964e+00,3.01104088117007969e+01,2,3.92467102302836466e+01,3.02799498060422998e+01,3.61371307740017619e+03
1.11000000000000000e+03,5.16005032392737758e+03,2.95396892310662773e+00,2.96179320648648137e+01,2,3.92985900267754928e+01,3.07014358544000174e+01,3.61374424656539122e+03
1.12000000000000000e+03,5.18969453049337699e+03,2.97471325478032300e+00,2.91282371828614259e+01,2,3.93486303358990526e+01,3.11235937810022136e+01,3.61377567719656690e+03
1.13000000000000000e+03,5.21954513438386857e+03,2.99500158939765404e+00,2.86413384048955031e+01,2,3.93968252765134395e+01,3.15464012496741155e+01,3.61380736826135762e+03
1.14000000000000000e+03,5.24959313715333337e+03,3.01484552041459830e+00,2.81572468915481089e+01,2,3.94431691647716889e+01,3.19698356236191259e+01,3.61383931870874585e+03
1.15000000000000000e+03,5.27983863331396969e+03,3.03424900804396591e+00,2.76759709189469234e+01,2,3.94876565171017049e+01,3.23938739742579003e+01,3.61387152746903303e+03
1.16000000000000000e+03,5.31027739319707052e+03,3.05321888863347679e+00,2.71975160627839117e+01,2,3.95302820531013523e+01,3.28184930903731527e+01,3.61390399345386868e+03
1.17000000000000000e+03,5.34090367209219403e+03,3.07176125748285900e+00,2.67218853726568746e+01,2,3.95710406983442837e+01,3.32436694875535466e+01,3.61393671555624860e+03
1.18000000000000000e+03,5.37171003483759432e+03,3.08988409511473350e+00,2.62490795371931469e+01,2,3.96099275870927983e+01,3.36693794179286456e+01,3.61396969265053849e+03
1.19000000000000000e+03,5.40269599070760614e+03,3.10758960179120969e+00,2.57790970403941344e+01,2,3.96469380649145435e+01,3.40955988801869410e+01,3.61400292359248851e+03
1.20000000000000000e+03,5.43385895838104716e+03,3.12489233277838929e+00,2.53119343096222131e+01,2,3.96820676911996699e+01,3.45223036298681407e+01,3.61403640721924785e+03
1.21000000000000000e+03,5.46519504766148202e+03,3.14179136574494455e+00,2.48475858556324845e+01,2,3.97153122415751341e+01,3.49494691899208618e+01,3.61407014234938833e+03
1.22000000000000000e+03,5.49669394420342269e+03,3.15829632974187735e+00,2.43860444050366354e+01,2,3.97466677102133801e+01,3.53770708615152785e+01,3.61410412778293176e+03
1.23000000000000000e+03,5.52835834185061049e+03,3.17441212412729401e+00,2.39273010255672851e+01,2,3.97761303120319738e+01,3.58050837351008653e+01,3.61413836230136440e+03
1.24000000000000000e+03,5.56018329802258177e+03,3.19014674237685680e+00,2.34713452444969199e+01,2,3.98036964847816890e+01,3.62334827016982928e+01,3.61417284466767887e+03
1.25000000000000000e+03,5.59216094898447045e+03,3.20550504032981731e+00,2.30181651605488220e+01,2,3.98293628910201889e+01,3.66622424644141987e+01,3.61420757362638687e+03
1.26000000000000000e+03,5.62428906808015927e+03,3.22049458152729917e+00,2.25677475496226450e+01,2,3.98531264199686603e+01,3.70913375501671396e+01,3.61424254790356281e+03
1.27000000000000000e+03,5.65656914874772610e+03,3.23511828428137171e+00,2.21200779646433787e+01,2,3.98749841892490693e+01,3.75207423216122180e+01,3.61427776620687655e+03
1.28000000000000000e+03,5.68899115723450723e+03,3.24938693481940177e+00,2.16751408298272139e+01,2,3.98949335464995443e+01,3.79504309892523892e+01,3.61431322722561890e+03
1.29000000000000000e+03,5.72155516937507309e+03,3.26330258275134710e+00,2.12329195296459829e+01,2,3.99129720708659548e+01,3.83803776237226089e+01,3.61434892963075436e+03
1.30000000000000000e+03,5.75425528846889301e+03,3.27686969237526959e+00,2.07933964927571466e+01,2,3.99290975743675105e+01,3.88105561682343208e+01,3.61438487207494290e+03
1.31000000000000000e+03,5.78709124922153296e+03,3.29010037852634607e+00,2.03565532711559420e+01,2,3.99433081031345694e+01,3.92409404511659261e+01,3.61442105319260554e+03
1.32000000000000000e+03,5.82005929063005169e+03,3.30299479758077430e+00,1.99223706147923458e+01,2,3.99556019385170771e+01,3.96715041987854420e+01,3.61445747159994244e+03
1.33000000000000000e+03,5.85315227074135328e+03,3.31556124041010447e+00,1.94908285418857758e+01,2,3.99659775980620395e+01,4.01022210480909820e+01,3.61449412589499843e+03
1.34000000000000000e+03,5.88636868410584430e+03,3.32780199271331867e+00,1.90619064051581439e+01,2,3.99744338363587417e+01,4.05330645597547345e+01,3.61453101465770851e+03
1.35000000000000000e+03,5.91970630885430819e+03,3.33972760617974007e+00,1.86355829541965612e+01,2,3.99809696457504629e+01,4.09640082311551907e+01,3.61456813644993417e+03
