Time(s),Range(km),Range_Rate(km/s),Station_ID
4400.0,5154.59875719205229,-2.98882048660009,1
4410.0,5124.81300661215028,-2.96869335023642,1
4420.0,5095.22787806488668,-2.94810492694911,1
4430.0,5065.85215967790464,-2.92705110348002,1
4440.0,5036.68760046180614,-2.90552405717853,1
4450.0,5007.74231090065587,-2.88352091488881,1
4460.0,4979.01957510140710,-2.86102986138137,1
4470.0,4950.52453201198296,-2.83804992461524,1
4480.0,4922.26180087274406,-2.81456368636476,1
4490.0,4894.23430888162329,-2.79057763251017,1
4500.0,4866.44996788299159,-2.76607200606269,1
4510.0,4838.91464623815500,-2.74104736409675,1
4520.0,4811.63022469749194,-2.71549742136059,1
4530.0,4784.60514420782874,-2.68941583563199,1
4540.0,4757.84426324866945,-2.66279063314168,1
4550.0,4731.35463259056360,-2.63562412648558,1
4560.0,4705.13412465661622,-2.60790450877214,1
4570.0,4679.19541497942464,-2.57962649480079,1
4580.0,4653.54371311795876,-2.55078258199569,1
4590.0,4628.18279096106380,-2.52136997251015,1
4600.0,4603.11877229904530,-2.49138582924664,1
4610.0,4578.35689038540659,-2.46081667881303,1
4620.0,4553.90354928175657,-2.42966762951072,1
4630.0,4529.76639023149892,-2.39792500342882,1
4640.0,4505.94832204987779,-2.36559067998374,1
4650.0,4482.45469999292072,-2.33265701205698,1
4660.0,4459.29513393109391,-2.29912094359790,1
4670.0,4436.47347229851766,-2.26498062072167,1
4680.0,4413.99862119309819,-2.23023283879800,1
4690.0,4391.87085789380126,-2.19487238051997,1
4700.0,4370.10270223854150,-2.15889915884847,1
4710.0,4348.69651148817320,-2.12231132892479,1
4720.0,4327.65802278495903,-2.08510807519150,1
4730.0,4306.99747792392373,-2.04728656653979,1
4740.0,4286.71468305527014,-2.00884613778118,1
4750.0,4266.82119426766349,-1.96979528517612,1
4760.0,4247.32034603525153,-1.93012332337269,1
4770.0,4228.22137071211364,-1.88984071770396,1
4780.0,4209.52540446882722,-1.84894265797603,1
4790.0,4191.24285537561173,-1.80743633345052,1
4800.0,4173.38159790142072,-1.76532461853719,1
4810.0,4155.93994675278191,-1.72261198969947,1
4820.0,4138.92989839136317,-1.67929759017113,1
4830.0,4122.35588165046192,-1.63539840490738,1
4840.0,4106.22364898806609,-1.59090994050856,1
4850.0,4090.53802060080488,-1.54584396442783,1
4860.0,4075.30689316747385,-1.50020579830933,1
4870.0,4060.53820897296146,-1.45400681813913,1
4880.0,4046.23022671491071,-1.40725857114003,1
4890.0,4032.39435273212075,-1.35996359502263,1
4900.0,4019.03237527093052,-1.31214106621184,1
4910.0,4006.15257775244800,-1.26379800973759,1
4920.0,3993.75794936335933,-1.21494651206954,1
4930.0,3981.85486634340850,-1.16560733290261,1
4940.0,3970.44736783383587,-1.11578635268245,1
4950.0,3959.54047065943269,-1.06550044706033,1
4960.0,3949.14058773633087,-1.01476931724706,1
4970.0,3939.24645498870041,-0.96360616314620,1
4980.0,3929.86824059785658,-0.91203112264077,1
4990.0,3921.00991663547120,-0.86005919557575,1
5000.0,3912.66879361343899,-0.80771227031352,1
5010.0,3904.85456961025966,-0.75500792399728,1
5020.0,3897.57057214717906,-0.70196836264867,1
5030.0,3890.81598832436066,-0.64861537654209,1
5040.0,3884.59822341993231,-0.59497004145761,1
5050.0,3878.91615888987735,-0.54105453160298,1
5060.0,3873.77813163181281,-0.48688623029442,1
5070.0,3869.18157319675902,-0.43249762678945,1
5080.0,3865.13006126568371,-0.37790567010853,1
5090.0,3861.62305734780375,-0.32313569356217,1
5100.0,3858.66740563389521,-0.26821591837251,1
5110.0,3856.26014299355575,-0.21316902575234,1
5120.0,3854.40372856959129,-0.15802208975575,1
5130.0,3853.10015066480810,-0.10279600582708,1
5140.0,3852.34736191067850,-0.04751976800277,1
