Time(s),Delta_X(km),Delta_Y(km),Delta_Z(km),Delta_VX(km/s),Delta_VY(km/s),Delta_VZ(km/s)
400.0000,9.8011741889e-01,3.7235681570e-01,-1.3298597457e-02,-9.8337906823e-05,8.6148104243e-04,-6.5172488887e-05
410.0000,9.7912236633e-01,3.8095369690e-01,-1.3958123690e-02,-1.0067074409e-04,8.5789272683e-04,-6.6732826965e-05
420.0000,9.7810404224e-01,3.8951461964e-01,-1.4633256222e-02,-1.0299212170e-04,8.5428924703e-04,-6.8293821632e-05
430.0000,9.7706256371e-01,3.9803942966e-01,-1.5324003491e-02,-1.0530153094e-04,8.5067008038e-04,-6.9855852334e-05
440.0000,9.7599805304e-01,4.0652796753e-01,-1.6030377804e-02,-1.0759845246e-04,8.4703471781e-04,-7.1419305808e-05
450.0000,9.7491063784e-01,4.1498006868e-01,-1.6752395441e-02,-1.0988235638e-04,8.4338266409e-04,-7.2984575909e-05
460.0000,9.7380045113e-01,4.2339556355e-01,-1.7490076732e-02,-1.1215270254e-04,8.3971343801e-04,-7.4552063456e-05
470.0000,9.7266763093e-01,4.3177427846e-01,-1.8243445586e-02,-1.1440894055e-04,8.3602657263e-04,-7.6122176105e-05
480.0000,9.7151232127e-01,4.4011603461e-01,-1.9012530446e-02,-1.1665051007e-04,8.3232161543e-04,-7.7695328119e-05
490.0000,9.7033467160e-01,4.4842064893e-01,-1.9797363749e-02,-1.1887684092e-04,8.2859812856e-04,-7.9271940240e-05
500.0000,9.6913483716e-01,4.5668793403e-01,-2.0597982189e-02,-1.2108735328e-04,8.2485568902e-04,-8.0852439512e-05
510.0000,9.6791297911e-01,4.6491769830e-01,-2.1414426828e-02,-1.2328145787e-04,8.2109388884e-04,-8.2437259098e-05
520.0000,9.6666926456e-01,4.7310974611e-01,-2.2246743108e-02,-1.2545855609e-04,8.1731233530e-04,-8.4026838119e-05
530.0000,9.6540386666e-01,4.8126387796e-01,-2.3094980893e-02,-1.2761804028e-04,8.1351065108e-04,-8.5621621476e-05
540.0000,9.6411696464e-01,4.8937989070e-01,-2.3959194496e-02,-1.2975929382e-04,8.0968847450e-04,-8.7222059686e-05
550.0000,9.6280874391e-01,4.9745757768e-01,-2.4839442731e-02,-1.3188169135e-04,8.0584545962e-04,-8.8828608693e-05
560.0000,9.6147939616e-01,5.0549672890e-01,-2.5735788959e-02,-1.3398459897e-04,8.0198127651e-04,-9.0441729704e-05
570.0000,9.6012911940e-01,5.1349713118e-01,-2.6648301151e-02,-1.3606737441e-04,7.9809561136e-04,-9.2061888996e-05
580.0000,9.5875811813e-01,5.2145856830e-01,-2.7577051960e-02,-1.3812936724e-04,7.9418816664e-04,-9.3689557746e-05
590.0000,9.5736660339e-01,5.2938082110e-01,-2.8522118794e-02,-1.4016991906e-04,7.9025866134e-04,-9.5325211836e-05
600.0000,9.5595479291e-01,5.3726366767e-01,-2.9483583896e-02,-1.4218836369e-04,7.8630683103e-04,-9.6969331676e-05
610.0000,9.5452291122e-01,5.4510688339e-01,-3.0461534436e-02,-1.4418402741e-04,7.8233242809e-04,-9.8622402009e-05
620.0000,9.5307118977e-01,5.5291024110e-01,-3.1456062609e-02,-1.4615622914e-04,7.7833522183e-04,-1.0028491173e-04
630.0000,9.5159986710e-01,5.6067351117e-01,-3.2467265737e-02,-1.4810428065e-04,7.7431499864e-04,-1.0195735368e-04
640.0000,9.5010918758e-01,5.6839646301e-01,-3.3495245043e-02,-1.5002748665e-04,7.7027156217e-04,-1.0364022457e-04
650.0000,9.4859940287e-01,5.7607886402e-01,-3.4540107008e-02,-1.5192514513e-04,7.6620473345e-04,-1.0533402468e-04
660.0000,9.4707077242e-01,5.8372047898e-01,-3.5601963858e-02,-1.5379654759e-04,7.6211435101e-04,-1.0703925766e-04
670.0000,9.4552356205e-01,5.9132107186e-01,-3.6680932179e-02,-1.5564097915e-04,7.5800027104e-04,-1.0875643042e-04
680.0000,9.4395804503e-01,5.9888040508e-01,-3.7777133860e-02,-1.5745771881e-04,7.5386236749e-04,-1.1048605286e-04
690.0000,9.4237450197e-01,6.0639823981e-01,-3.8890696032e-02,-1.5924603971e-04,7.4970053222e-04,-1.1222863771e-04
700.0000,9.4077322087e-01,6.1387433613e-01,-4.0021751025e-02,-1.6100520930e-04,7.4551467510e-04,-1.1398470035e-04
710.0000,9.3915449705e-01,6.2130845333e-01,-4.1170436338e-02,-1.6273448956e-04,7.4130472415e-04,-1.1575475857e-04
720.0000,9.3751863323e-01,6.2870035011e-01,-4.2336894618e-02,-1.6443313720e-04,7.3707062562e-04,-1.1753933246e-04
730.0000,9.3586593949e-01,6.3604978477e-01,-4.3521273662e-02,-1.6610040393e-04,7.3281234414e-04,-1.1933894411e-04
740.0000,9.3419673336e-01,6.4335651542e-01,-4.4723726417e-02,-1.6773553664e-04,7.2852986282e-04,-1.2115411753e-04
750.0000,9.3251133984e-01,6.5062030015e-01,-4.5944411005e-02,-1.6933777762e-04,7.2422318330e-04,-1.2298537835e-04
760.0000,9.3081009144e-01,6.5784089723e-01,-4.7183490753e-02,-1.7090636482e-04,7.1989232590e-04,-1.2483325369e-04
770.0000,9.2909332833e-01,6.6501806524e-01,-4.8441134238e-02,-1.7244053205e-04,7.1553732971e-04,-1.2669827194e-04
780.0000,9.2736139834e-01,6.7215156326e-01,-4.9717515340e-02,-1.7393950925e-04,7.1115825263e-04,-1.2858096253e-04
790.0000,9.2561465712e-01,6.7924115094e-01,-5.1012813318e-02,-1.7540252268e-04,7.0675517147e-04,-1.3048185579e-04
800.0000,9.2385346822e-01,6.8628658870e-01,-5.2327212883e-02,-1.7682879519e-04,7.0232818207e-04,-1.3240148266e-04
810.0000,9.2207820323e-01,6.9328763778e-01,-5.3660904292e-02,-1.7821754647e-04,6.9787739928e-04,-1.3434037456e-04
820.0000,9.2028924191e-01,7.0024406039e-01,-5.5014083453e-02,-1.7956799325e-04,6.9340295711e-04,-1.3629906314e-04
830.0000,9.1848697233e-01,7.0715561976e-01,-5.6386952036e-02,-1.8087934960e-04,6.8890500874e-04,-1.3827808009e-04
840.0000,9.1667179003e-01,7.1402208104e-01,-5.7779716650e-02,-1.8215082705e-04,6.8438372664e-04,-1.4027795696e-04
850.0000,9.1484409367e-01,7.2084321514e-01,-5.9192584689e-02,-1.8338163448e-04,6.7983930276e-04,-1.4229922530e-04
860.0000,9.1300429605e-01,7.2761879022e-01,-6.0625774704e-02,-1.8457097923e-04,6.7527194821e-04,-1.4434241576e-04
870.0000,9.1115281570e-01,7.3434857800e-01,-6.2079508535e-02,-1.8571806673e-04,6.7068189360e-04,-1.4640805832e-04
880.0000,9.0929007872e-01,7.4103235297e-01,-6.3554012931e-02,-1.8682210083e-04,6.6606938902e-04,-1.4849668208e-04
890.0000,9.0741651955e-01,7.4766989203e-01,-6.5049520263e-02,-1.8788228411e-04,6.6143470403e-04,-1.5060881494e-04
900.0000,9.0553258082e-01,7.5426097472e-01,-6.6566268388e-02,-1.8889781815e-04,6.5677812773e-04,-1.5274498347e-04
910.0000,9.0363871330e-01,7.6080538350e-01,-6.8104500531e-02,-1.8986790369e-04,6.5209996876e-04,-1.5490571266e-04
920.0000,9.0173537574e-01,7.6730290399e-01,-6.9664465178e-02,-1.9079174093e-04,6.4740055535e-04,-1.5709152574e-04
930.0000,8.9982303488e-01,7.7375332525e-01,-7.1246415991e-02,-1.9166852976e-04,6.4268023534e-04,-1.5930294401e-04
940.0000,8.9790216532e-01,7.8015643992e-01,-7.2850611743e-02,-1.9249746995e-04,6.3793937619e-04,-1.6154048661e-04
950.0000,8.9597324955e-01,7.8651204453e-01,-7.4477316262e-02,-1.9327776146e-04,6.3317836500e-04,-1.6380467033e-04
960.0000,8.9403677791e-01,7.9281993966e-01,-7.6126798399e-02,-1.9400860465e-04,6.2839760853e-04,-1.6609600941e-04
970.0000,8.9209324860e-01,7.9907993013e-01,-7.7799332013e-02,-1.9468920051e-04,6.2359753318e-04,-1.6841501534e-04
980.0000,8.9014316770e-01,8.0529182518e-01,-7.9495195969e-02,-1.9531875097e-04,6.1877858497e-04,-1.7076219665e-04
990.0000,8.8818704922e-01,8.1145543865e-01,-8.1214674153e-02,-1.9589645909e-04,6.1394122960e-04,-1.7313805871e-04
1000.0000,8.8622541514e-01,8.1757058914e-01,-8.2958055510e-02,-1.9642152935e-04,6.0908595233e-04,-1.7554310352e-04
1010.0000,8.8425879552e-01,8.2363710012e-01,-8.4725634089e-02,-1.9689316789e-04,6.0421325808e-04,-1.7797782952e-04
1020.0000,8.8228772858e-01,8.2965480009e-01,-8.6517709115e-02,-1.9731058277e-04,5.9932367128e-04,-1.8044273135e-04
1030.0000,8.8031276079e-01,8.3562352267e-01,-8.8334585064e-02,-1.9767298425e-04,5.9441773594e-04,-1.8293829969e-04
1040.0000,8.7833444703e-01,8.4154310673e-01,-9.0176571774e-02,-1.9797958504e-04,5.8949601555e-04,-1.8546502102e-04
1050.0000,8.7635335072e-01,8.4741339646e-01,-9.2043984544e-02,-1.9822960053e-04,5.8455909306e-04,-1.8802337738e-04
1060.0000,8.7437004399e-01,8.5323424144e-01,-9.3937144281e-02,-1.9842224914e-04,5.7960757083e-04,-1.9061384624e-04
1070.0000,8.7238510563e-01,8.5900549793e-01,-9.5856375608e-02,-1.9855675231e-04,5.7464207066e-04,-1.9323690035e-04
1080.0000,8.7039911165e-01,8.6472703460e-01,-9.7801998236e-02,-1.9863233408e-04,5.6966323419e-04,-1.9589300814e-04
1090.0000,8.6841265926e-01,8.7039871951e-01,-9.9774348719e-02,-1.9864822310e-04,5.6467172178e-04,-1.9858263215e-04
1100.0000,8.6642635008e-01,8.7602042858e-01,-1.0177376532e-01,-1.9860365174e-04,5.5966821318e-04,-2.0130622974e-04
