Time(s),Range(km),Range_Rate(km/s),Station_ID
110820.0,6142.30891397950927,-3.33583226456891,2
110830.0,6109.00688731439004,-3.32483591880941,2
110840.0,6075.81538767274378,-3.31354530912218,2
110850.0,6042.73664925818048,-3.30195603920115,2
110860.0,6009.77804833362370,-3.29006168927117,2
110870.0,5976.93671743762661,-3.27786195842887,2
110880.0,5944.22024983855499,-3.26534470521120,2
110890.0,5911.63028965811736,-3.25251087352045,2
110900.0,5879.17060556922843,-3.23935155508266,2
110910.0,5846.84394527187305,-3.22586573745946,2
110920.0,5814.65431507764333,-3.21204321210125,2
110930.0,5782.60607375816926,-3.19788286482025,2
110940.0,5750.69729600134542,-3.18337665642944,2
110950.0,5718.93660636858931,-3.16851915484759,2
110960.0,5687.32880064348319,-3.15330399268466,2
110970.0,5655.87376235889224,-3.13772812921951,2
110980.0,5624.57559330841104,-3.12178454147431,2
110990.0,5593.43950309106640,-3.10546797757221,2
111000.0,5562.46745695549907,-3.08877169209120,2
111010.0,5531.66594610665470,-3.07169153355323,2
111020.0,5501.03505522885462,-3.05422278628761,2
111030.0,5470.58200355858571,-3.03635292278054,2
111040.0,5440.30908352782353,-3.01808381192450,2
111050.0,5410.22244950916684,-2.99940568103309,2
111060.0,5380.32125650299076,-2.98031293038915,2
111070.0,5350.61803390553723,-2.96080046791330,2
111080.0,5321.10684200813557,-2.94086085708224,2
111090.0,5291.80018871157245,-2.92048975993759,2
111100.0,5262.69898328974250,-2.89967868221412,2
111110.0,5233.80869654001890,-2.87842518748667,2
111120.0,5205.13366370915810,-2.85672067213319,2
111130.0,5176.67481356135431,-2.83456053143223,2
111140.0,5148.44280113403602,-2.81193561911159,2
111150.0,5120.43739394872773,-2.78884319941386,2
111160.0,5092.66775894831244,-2.76528225177787,2
111170.0,5065.13441237392180,-2.74123806481962,2
111180.0,5037.84385541876327,-2.71670582311254,2
111190.0,5010.80135033186070,-2.69168491859608,2
111200.0,4984.01215245286494,-2.66617030043345,2
111210.0,4957.47987801438467,-2.64015038090454,2
111220.0,4931.21115376529906,-2.61362483866602,2
111230.0,4905.20912469545237,-2.58658784610835,2
111240.0,4879.48035946714117,-2.55903092849537,2
111250.0,4854.03011545779282,-2.53095614281307,2
111260.0,4828.86241564126703,-2.50235148484566,2
111270.0,4803.98550575227182,-2.47321418749720,2
111280.0,4779.40079662973039,-2.44354427465579,2
111290.0,4755.11635787295654,-2.41333202326124,2
111300.0,4731.13772300345772,-2.38257858270072,2
111310.0,4707.46509843862350,-2.35127952554907,2
111320.0,4684.11359094355703,-2.31942761830515,2
111330.0,4661.08116644457368,-2.28702443924304,2
111340.0,4638.37568783095685,-2.25406299239260,2
111350.0,4616.00082159116391,-2.22054662065662,2
111360.0,4593.96315300564038,-2.18646916693114,2
111370.0,4572.27158493642855,-2.15182668743396,2
111380.0,4550.93131421849921,-2.11662382498772,2
111390.0,4529.94438794264624,-2.08085872954469,2
111400.0,4509.31491986806668,-2.04452843201110,2
111410.0,4489.05302225104151,-2.00763266208246,2
111420.0,4469.16380655021294,-1.97017291937923,2
111430.0,4449.65274498482358,-1.93215254934863,2
111440.0,4430.52287314144996,-1.89356746351668,2
111450.0,4411.78377107175311,-1.85442728814200,2
