Time(s),Range(km),Range_Rate(km/s),Station_ID
0.0,4281.99112725240775,-1.87259068816491,2
10.0,4263.46885844075587,-1.83176341005034,2
20.0,4245.35784695011716,-1.79033978397631,2
30.0,4227.66403836699556,-1.74832349848284,2
40.0,4210.39333806247305,-1.70571891131740,2
50.0,4193.55160440579948,-1.66253106810990,2
60.0,4177.14464179710831,-1.61876571989743,2
70.0,4161.17819353079994,-1.57442933935762,2
80.0,4145.65793450394358,-1.52952913560735,2
90.0,4130.58946378452220,-1.48407306742452,2
100.0,4115.97829705579807,-1.43806985475068,2
110.0,4101.82985895488127,-1.39152898833465,2
120.0,4088.14947532461292,-1.34446073738109,2
130.0,4074.94236539955727,-1.29687615507229,2
140.0,4062.21363394786977,-1.24878708183770,2
150.0,4049.96826339231802,-1.20020614625387,2
160.0,4038.21110593460207,-1.15114676346570,2
170.0,4026.94687570834685,-1.10162313103124,2
180.0,4016.18014098694994,-1.05165022210367,2
190.0,4005.91531647340253,-1.00124377587757,2
200.0,3996.15665569894281,-0.95042028524151,2
210.0,3986.90824355859377,-0.89919698159429,2
220.0,3978.17398901529486,-0.84759181679933,2
230.0,3969.95761799685806,-0.79562344227021,2
240.0,3962.26266651709011,-0.74331118519848,2
250.0,3955.09247404871621,-0.69067502195486,2
260.0,3948.45017717620931,-0.63773554871458,2
270.0,3942.33870355586714,-0.58451394937807,2
280.0,3936.76076620985123,-0.53103196087879,2
290.0,3931.71885817970042,-0.47731183598935,2
300.0,3927.21524756384133,-0.42337630375781,2
310.0,3923.25197296193073,-0.36924852772460,2
320.0,3919.83083934748629,-0.31495206208898,2
330.0,3916.95341438843388,-0.26051080601085,2
340.0,3914.62102523321209,-0.20594895625032,2
350.0,3912.83475577795116,-0.15129095836068,2
360.0,3911.59544442756942,-0.09656145666393,2
370.0,3910.90368236080894,-0.04178524324791,2
380.0,3910.75981231268588,0.01301279376616,2
390.0,3911.16392787405084,0.06780772243146,2
400.0,3912.11587331548617,0.12257461939996,2
410.0,3913.61524393551963,0.17728862230210,2
420.0,3915.66138693116136,0.23192498182181,2
430.0,3918.25340278660815,0.28645911320881,2
440.0,3921.39014717307100,0.34086664697587,2
450.0,3925.07023335051008,0.39512347853537,2
460.0,3929.29203505945134,0.44920581653928,2
470.0,3934.05368988871714,0.50309022969802,2
480.0,3939.35310310295517,0.55675369186644,2
490.0,3945.18795191160416,0.61017362520067,2
500.0,3951.55569015903711,0.66332794120539,2
510.0,3958.45355341408640,0.71619507950885,2
520.0,3965.87856443546752,0.76875404422165,2
530.0,3973.82753898827559,0.82098443775448,2
540.0,3982.29709198460114,0.87286649199033,2
550.0,3991.28364391986861,0.92438109672781,2
560.0,4000.78342758652207,0.97550982532736,2
570.0,4010.79249502436596,1.02623495752100,2
580.0,4021.30672468649209,1.07653949935900,2
590.0,4032.32182879052607,1.12640720028903,2
600.0,4043.83336082616279,1.17582256738169,2
610.0,4055.83672319080142,1.22477087673339,2
620.0,4068.32717492518123,1.27323818209491,2
630.0,4081.29983952166003,1.32121132078872,2
640.0,4094.74971277836130,1.36867791699269,2
650.0,4108.67167067346327,1.41562638248066,2
660.0,4123.06047723449410,1.46204591492151,2
670.0,4137.91079237900885,1.50792649384877,2
680.0,4153.21717970384816,1.55325887442100,2
690.0,4168.97411420157641,1.59803457910062,2
700.0,4185.17598988391273,1.64224588738419,2
710.0,4201.81712729347146,1.68588582372188,2
720.0,4218.89178088635708,1.72894814376672,2
730.0,4236.39414626959933,1.77142731909558,2
740.0,4254.31836727653172,1.81331852054651,2
750.0,4272.65854286705598,1.85461760031501,2
760.0,4291.40873385370742,1.89532107294147,2
770.0,4310.56296942276185,1.93542609534011,2
780.0,4330.11525345486370,1.97493044599710,2
790.0,4350.05957063408459,2.01383250346985,2
800.0,4370.38989233888424,2.05213122431357,2
810.0,4391.10018230980404,2.08982612055601,2
820.0,4412.18440209013897,2.12691723683498,2
830.0,4433.63651623663009,2.16340512730765,2
840.0,4455.45049729850780,2.19929083243415,2
850.0,4477.62033056411383,2.23457585573108,2
860.0,4500.14001857536459,2.26926214058446,2
870.0,4523.00358541092828,2.30335204720430,2
880.0,4546.20508074008558,2.33684832979656,2
890.0,4569.73858364974967,2.36975411402153,2
900.0,4593.59820624783515,2.40207287480107,2
910.0,4617.77809704680294,2.43380841453068,2
920.0,4642.27244413173230,2.46496484174624,2
930.0,4667.07547811755921,2.49554655028917,2
940.0,4692.18147490088177,2.52555819900820,2
950.0,4717.58475821171669,2.55500469202995,2
960.0,4743.27970196335809,2.58389115963211,2
970.0,4769.26073242346138,2.61222293972924,2
980.0,4795.52233020512540,2.64000555999313,2
990.0,4822.05903207405663,2.66724472063014,2
1000.0,4848.86543259101472,2.69394627781607,2
1010.0,4875.93618559192782,2.72011622779697,2
1020.0,4903.26600551204774,2.74576069165912,2
1030.0,4930.84966856110714,2.77088590076708,2
1040.0,4958.68201375600529,2.79549818286704,2
1050.0,4986.75794381787728,2.81960394884930,2
1060.0,5015.07242593983938,2.84320968016216,2
1070.0,5043.62049243221009,2.86632191686692,2
1080.0,5072.39724125134580,2.88894724632249,2
1090.0,5101.39783641848317,2.91109229248607,2
1100.0,5130.61750833462429,2.93276370581539,2
1110.0,5160.05155399748128,2.95396815375686,2
1120.0,5189.69533712622797,2.97471231180289,2
1130.0,5219.54428819971781,2.99500285510089,2
1140.0,5249.59390441354844,3.01484645059626,2
1150.0,5279.83974956139446,3.03424974969048,2
1160.0,5310.27745384544778,3.05321938139595,2
1170.0,5340.90271362107978,3.07176194596829,2
1180.0,5371.71129108024070,3.08988400899723,2
1190.0,5402.69901387580467,3.10759209593879,2
1200.0,5433.86177468196001,3.12489268707786,2
1210.0,5465.19553073651150,3.14179221286875,2
1220.0,5496.69630331494864,3.15829704967653,2
1230.0,5528.36017716867354,3.17441351588065,2
1240.0,5560.18329992771487,3.19014786832446,2
1250.0,5592.16188146942386,3.20550629909458,2
1260.0,5624.29219325634949,3.22049493261313,2
1270.0,5656.57056764638128,3.23511982302600,2
1280.0,5688.99339717812018,3.24938695187129,2
1290.0,5721.55713383411148,3.26330222601208,2
1300.0,5754.25828828468457,3.27687147581838,2
1310.0,5787.09342911467775,3.29010045358396,2
1320.0,5820.05918203552483,3.30299483216361,2
1330.0,5853.15222908470332,3.31556020381757,2
1340.0,5886.36930781470255,3.32780207925016,2
1350.0,5919.70721047332972,3.33972588682996,2
1360.0,5953.16278317713386,3.35133697197989,2
1370.0,5986.73292507970837,3.36264059672562,2
1380.0,6020.41458753625375,3.37364193939159,2
1390.0,6054.20477326600485,3.38434609443419,2
1400.0,6088.10053551376313,3.39475807240221,2
1410.0,6122.09897721179368,3.40488280001540,2
1420.0,6156.19725014321830,3.41472512035204,2
1430.0,6190.39255410806618,3.42428979313706,2
1440.0,6224.68213609250233,3.43358149512326,2
1450.0,6259.06328942376513,3.44260482057221,2
1460.0,6293.53335296202476,3.45136428178998,2
1470.0,6328.08971028859924,3.45986430973932,2
1480.0,6362.72978888902799,3.46810925472689,2
1490.0,6397.45105935100401,3.47610338714393,2
1500.0,6432.25103456973557,3.48385089826054,2
1510.0,6467.12726896128788,3.49135590106831,2
1520.0,6502.07735768441944,3.49862243116623,2
1530.0,6537.09893587131046,3.50565444768529,2
1540.0,6572.18967786759458,3.51245583424732,2
1550.0,6607.34729648207121,3.51903039995407,2
1560.0,6642.56954224636866,3.52538188040253,2
3950.0,6643.40867669675754,-3.52164385657680,1
3960.0,6608.22050301467607,-3.51595526166688,1
3970.0,6573.09028998425038,-3.51005112884407,1
3980.0,6538.02021105372660,-3.50392783140210,1
3990.0,6503.01247630385296,-3.49758166916406,1
4000.0,6468.06933318880419,-3.49100886733825,1
4010.0,6433.19306728859101,-3.48420557539067,1
4020.0,6398.38600307303750,-3.47716786593765,1
4030.0,6363.65050467691708,-3.46989173366194,1
4040.0,6328.98897668618974,-3.46237309425625,1
4050.0,6294.40386493504320,-3.45460778339822,1
4060.0,6259.89765731333046,-3.44659155576139,1
4070.0,6225.47288457784271,-3.43832008406966,1
4080.0,6191.13212112633028,-3.42978895821850,1
4090.0,6156.87798589371596,-3.42099368439333,1
4100.0,6122.71314318142413,-3.41192968428246,1
4110.0,6088.64030349825316,-3.40259229434969,1
4120.0,6054.66222441671835,-3.39297676517207,1
4130.0,6020.78171143539021,-3.38307826085405,1
4140.0,5987.00161884661156,-3.37289185852524,1
4150.0,5953.32485060854378,-3.36241254792950,1
4160.0,5919.75436122078554,-3.35163523111342,1
4170.0,5886.29315660235534,-3.34055472222309,1
4180.0,5852.94429497121018,-3.32916574741793,1
4190.0,5819.71088772373696,-3.31746294491149,1
4200.0,5786.59610031325792,-3.30544086514918,1
4210.0,5753.60315312592047,-3.29309397113377,1
4220.0,5720.73532235264520,-3.28041663890968,1
4230.0,5687.99594085533136,-3.26740315821804,1
4240.0,5655.38839902570544,-3.25404773333479,1
4250.0,5622.91614563488929,-3.24034448410476,1
4260.0,5590.58268867175229,-3.22628744718518,1
4270.0,5558.39159616782672,-3.21187057751298,1
4280.0,5526.34649700654791,-3.19708775001029,1
4290.0,5494.45108171441552,-3.18193276154366,1
4300.0,5462.70910323148200,-3.16639933315278,1
4310.0,5431.12437765835966,-3.15048111256533,1
4320.0,5399.70078497695249,-3.13417167701476,1
4330.0,5368.44226974171488,-3.11746453637892,1
4340.0,5337.35284173750370,-3.10035313665775,1
4350.0,5306.43657656943924,-3.08283086382333,1
4360.0,5275.69761626441141,-3.06489104802066,1
4370.0,5245.14016981706664,-3.04652696817162,1
4380.0,5214.76851366770188,-3.02773185700394,1
4390.0,5184.58699213756881,-3.00849890651142,1
4400.0,5154.60001780732273,-2.98882127387080,1
4410.0,5124.81207183370043,-2.96869208783580,1
4420.0,5095.22770419978860,-2.94810445562914,1
4430.0,5065.85153389366951,-2.92705147035292,1
4440.0,5036.68824901025891,-2.90552621893798,1
4450.0,5007.74260677083294,-2.88352179065241,1
4460.0,4979.01943345451400,-2.86103128618902,1
4470.0,4950.52362423607337,-2.83804782735100,1
4480.0,4922.26014292360196,-2.81456456735440,1
4490.0,4894.23402159029320,-2.79057470176482,1
4500.0,4866.45036009350770,-2.76607148008526,1
4510.0,4838.91432547486966,-2.74104821800997,1
4520.0,4811.63115123447278,-2.71549831035820,1
4530.0,4784.60613647252285,-2.68941524469987,1
4540.0,4757.84464489133916,-2.66279261568272,1
4550.0,4731.35210365080911,-2.63562414006886,1
4560.0,4705.13400207009181,-2.60790367248566,1
4570.0,4679.19589015985093,-2.57962522189659,1
4580.0,4653.54337699470580,-2.55078296878325,1
4590.0,4628.18212891600888,-2.52137128303581,1
4600.0,4603.11786754175228,-2.49138474255012,1
4610.0,4578.35636759083536,-2.46081815251239,1
4620.0,4553.90345451108169,-2.42966656535604,1
4630.0,4529.76500190426759,-2.39792530136835,1
4640.0,4505.94692874197335,-2.36558996991976,1
4650.0,4482.45519636600238,-2.33265649128251,1
4660.0,4459.29580526797054,-2.29912111900016,1
4670.0,4436.47479164243487,-2.26498046276247,1
4680.0,4413.99822370912443,-2.23023151173447,1
4690.0,4391.87219779983934,-2.19487165828116,1
4700.0,4370.10283420640553,-2.15889872202288,1
4710.0,4348.69627278684402,-2.12231097414867,1
4720.0,4327.65866832752181,-2.08510716190821,1
4730.0,4306.99618566002755,-2.04728653319511,1
4740.0,4286.71499453219803,-2.00884886112722,1
4750.0,4266.82126423363843,-1.96979446852229,1
4760.0,4247.32115797320876,-1.93012425216119,1
4770.0,4228.22082702284570,-1.88983970671834,1
4780.0,4209.52640462055388,-1.84894294824108,1
4790.0,4191.24399964117219,-1.80743673704688,1
4800.0,4173.37969004227580,-1.76532449990311,1
4810.0,4155.93951609241049,-1.72261035134934,1
4820.0,4138.92947339090551,-1.67929911401693,1
4830.0,4122.35550569001589,-1.63539633779692,1
4840.0,4106.22349753182425,-1.59090831770446,1
4850.0,4090.53926671356794,-1.54584211028589,1
4860.0,4075.30855659688541,-1.50020554841371,1
4870.0,4060.53702827777170,-1.45400725431561,1
4880.0,4046.23025263582122,-1.40725665068453,1
4890.0,4032.39370228261350,-1.35996396972079,1
4900.0,4019.03274343071098,-1.31214025996149,1
4910.0,4006.15262770614208,-1.26379739075808,1
4920.0,3993.75848392849684,-1.21494805427167,1
4930.0,3981.85530988424125,-1.16560576486389,1
4940.0,3970.44796411827656,-1.11578485577303,1
4950.0,3959.54115776995422,-1.06550047297669,1
4960.0,3949.13944649326322,-1.01476856615534,1
4970.0,3939.24722247538330,-0.96360587669024,1
4980.0,3929.86870659239457,-0.91202992264223,1
4990.0,3921.00794073046154,-0.86005898067784,1
