station,t,rho_km,rho_dot_km_s,elev_rad
Station 2,1140.0,5249.591661739407,3.01484501587487,0.49143666664466373
Station 2,1150.0,5279.839257666187,3.034248982424511,0.4830368162844429
Station 2,1160.0,5310.274993170572,3.0532189378211037,0.4746862036930396
Station 2,1170.0,5340.900449313233,3.071762779966251,0.46638488210419937
Station 2,1180.0,5371.709979806082,3.0898832138786463,0.45813286354708055
Station 2,1190.0,5402.69815426956,3.107592396541995,0.4499301215497113
Station 2,1200.0,5433.859762188213,3.124891216312559,0.4417765937533272
Station 2,1210.0,5465.193609752543,3.1417928567530136,0.4336721843535129
Station 2,1220.0,5496.695438401813,3.1582951756773454,0.4256167664059632
Station 2,1230.0,5528.358748876565,3.1744133749638177,0.4176101840129971
Station 2,1240.0,5560.1813240979545,3.1901465917818412,0.4096522543905587
Station 2,1250.0,5592.160497497285,3.205505937320512,0.40174276982159995
Station 2,1260.0,5624.290563225011,3.2204949066170956,0.39388149950147205
Station 2,1270.0,5656.569108701341,3.235119361271778,0.38606819128071473
Station 2,1280.0,5688.99367765625,3.249384231053018,0.37830257331037753
Station 2,1290.0,5721.555100947598,3.263302806770835,0.3705843555947755
Station 2,1300.0,5754.2560141684635,3.27687172346501,0.3629132314563572
Station 2,1310.0,5787.093101971009,3.2901004686103943,0.3552888789171532
Station 2,1320.0,5820.056729397365,3.302993903378519,0.34771096200105556
Station 2,1330.0,5853.1521961372355,3.315558577516653,0.34017913196098765
Station 2,1340.0,5886.367355150497,3.3278012456769557,0.3326930284348234
Station 2,1350.0,5919.7055204935605,3.3397237951156686,0.3252522805337494
Station 2,1360.0,5953.161747916103,3.351335437413854,0.3178565078665675
Station 2,1370.0,5986.732364518229,3.3626410648278977,0.3105053215032838
Station 2,1380.0,6020.413806373673,3.3736382543008947,0.3031983248811562
Station 2,1390.0,6054.2027872723975,3.3843462430519162,0.2959351146562343
Station 2,1400.0,6088.098382820757,3.3947565186189372,0.2887152815032647
Station 2,1410.0,6122.097534799594,3.4048831234752166,0.28153841086670156
Station 2,1420.0,6156.195591631507,3.41472439023091,0.27440408366542623
Station 2,1430.0,6190.390115517063,3.424289702230553,0.2673118769536516
Station 2,1440.0,6224.6807476526965,3.4335798733952503,0.2602613645403662
Station 2,1450.0,6259.062481753608,3.4426043647168547,0.25325211756955207
Station 2,1460.0,6293.531715275599,3.451365171341525,0.24628370506330818
Station 2,1470.0,6328.089467896941,3.4598643622883993,0.23935569442988744
Station 2,1480.0,6362.728390797843,3.4681081295492024,0.2324676519385771
Station 2,1490.0,6397.449093336005,3.47610407932726,0.22561914316323559
Station 2,1500.0,6432.249322971585,3.483849865517567,0.2188097333962175
Station 2,1510.0,6467.124895639034,3.4913569727289144,0.21203898803433036
Station 2,1520.0,6502.0745120128795,3.4986220313511978,0.20530647293837193
Station 2,1530.0,6537.097597145312,3.505654733303155,0.19861175476773962
Station 2,1540.0,6572.187008822197,3.5124549697533,0.19195440129131247
Station 2,1550.0,6607.3451221428495,3.5190313178819506,0.18533398165649093
Station 2,1560.0,6642.567636983491,3.525383130960978,0.17875006667104826
Station 1,3950.0,6643.369455918419,-3.5216566035485246,0.18106023087525883
Station 1,3960.0,6608.181230177221,-3.515968056076515,0.1876680740260721
Station 1,3970.0,6573.050483984685,-3.510065991089212,0.19431392646413656
Station 1,3980.0,6537.978295237127,-3.503938200282135,0.20099826532859655
Station 1,3990.0,6502.972162898402,-3.4975941675233564,0.20772157143564368
Station 1,4000.0,6468.028330559058,-3.4910208762044346,0.21448432909723122
Station 1,4010.0,6433.152610644162,-3.4842145867396552,0.2212870259225542
Station 1,4020.0,6398.346533012877,-3.4771791525574107,0.22813015260119432
Station 1,4030.0,6363.610734190741,-3.469904470730836,0.2350142026667807
Station 1,4040.0,6328.948509998518,-3.462384247519052,0.2419396722399298
Station 1,4050.0,6294.363574241819,-3.4546177660428765,0.24890705974918143
Station 1,4060.0,6259.855265350951,-3.4466027798139507,0.25591686562855825
Station 1,4070.0,6225.432071199222,-3.438330995577637,0.2629695919903021
Station 1,4080.0,6191.091635252695,-3.4298003921712175,0.2700657422712583
Station 1,4090.0,6156.836069953138,-3.4210054614117236,0.2772058208512993
Station 1,4100.0,6122.672241684331,-3.4119394999041823,0.28439033262746727
Station 1,4110.0,6088.598522243461,-3.402603281356246,0.2916197825748461
Station 1,4120.0,6054.621733365323,-3.3929834474024445,0.2988946752898263
Station 1,4130.0,6020.741240061236,-3.3830883268753897,0.30621551446414275
Station 1,4140.0,5986.959419006789,-3.3729006423534953,0.31358280233564906
Station 1,4150.0,5953.284566255315,-3.362420382017674,0.32099703909928595
Station 1,4160.0,5919.712344763104,-3.3516427046251764,0.3284587222758638
Station 1,4170.0,5886.253316258946,-3.340563011594304,0.33596834603618186
Station 1,4180.0,5852.901828484674,-3.329172576150868,0.3435264004778624
Station 1,4190.0,5819.668907247752,-3.3174689371262027,0.35113337085213747
Station 1,4200.0,5786.554203396571,-3.305448401667796,0.35878973673768416
Station 1,4210.0,5753.560229862181,-3.2930984734757645,0.3664959711584196
Station 1,4220.0,5720.691365746675,-3.2804224459315092,0.3742525396420319
Station 1,4230.0,5687.952854964341,-3.2674096719209205,0.3820598992158198
Station 1,4240.0,5655.347141081753,-3.2540538404610837,0.38991849733623657
Station 1,4250.0,5622.873432058223,-3.2403503052388185,0.3978287707483468
Station 1,4260.0,5590.539933704504,-3.2262901011949046,0.4057911442711795
Station 1,4270.0,5558.350645478869,-3.2118729882835635,0.41380602950475637
Station 1,4280.0,5526.304488055861,-3.1970904771030852,0.42187382345434804
Station 1,4290.0,5494.409250881954,-3.1819363626949024,0.42999490706725113
Station 1,4300.0,5462.667393343838,-3.1663994320364766,0.4381696436771452
Station 1,4310.0,5431.080889274225,-3.1504841423871426,0.4463983773508056
Station 1,4320.0,5399.658311776707,-3.134173917622874,0.4546814311316729
Station 1,4330.0,5368.399809838501,-3.1174649208673877,0.4630191051744773
Station 1,4340.0,5337.3100654121645,-3.100352110159737,0.4714116747648031
Station 1,4350.0,5306.392863705222,-3.08283313037805,0.4798593882171425
Station 1,4360.0,5275.655462912826,-3.064890088622912,0.48836246464464483
Station 1,4370.0,5245.095902098619,-3.046526745300296,0.4969210915933893
Station 1,4380.0,5214.724980496235,-3.0277315448638515,0.5055354225336235
Station 1,4390.0,5184.5436052231125,-3.00849639752992,0.5142055741999917
Station 1,4400.0,5154.557052110803,-2.9888190807721275,0.5229316237723494
Station 1,4410.0,5124.770388967311,-2.9686886932509826,0.5317136058882967
Station 1,4420.0,5095.186872241298,-2.9481028732024632,0.5405515094780677
Station 1,4430.0,5065.810808716432,-2.927046600087876,0.5494452744119168
Station 1,4440.0,5036.646654958398,-2.90551998632154,0.5583947879495877
Station 1,4450.0,5007.70069948014,-2.883517442524379,0.5673998809808775
Station 1,4460.0,4978.974809611222,-2.8610259734305146,0.5764603240457186
Station 1,4470.0,4950.4825333473345,-2.8380401677799076,0.5855758231215419
Station 1,4480.0,4922.220623880898,-2.8145556028920793,0.5947460151507998
Station 1,4490.0,4894.192406229344,-2.790565788290774,0.6039704633208904
Station 1,4500.0,4866.408612533126,-2.7660611376149946,0.6132486521024149
Station 1,4510.0,4838.873136242645,-2.7410409557657696,0.6225799819513
Station 1,4520.0,4811.590092783617,-2.7154889575578256,0.6319637637242577
Station 1,4530.0,4784.564592474459,-2.689403704984348,0.6413992127730318
Station 1,4540.0,4757.802707779585,-2.6627803157549432,0.6508854426995202
Station 1,4550.0,4731.311025321243,-2.6356116846493056,0.6604214587531754
Station 1,4560.0,4705.091321121027,-2.6078911675034457,0.6700061508511829
Station 1,4570.0,4679.152837363507,-2.5796111162670856,0.6796382862009248
Station 1,4580.0,4653.50371435946,-2.5507693296143255,0.6893165015032896
Station 1,4590.0,4628.140802225954,-2.521356142708821,0.6990392947143889
Station 1,4600.0,4603.077878108419,-2.4913699201559076,0.7088050163423104
Station 1,4610.0,4578.317388477728,-2.4608021520111385,0.7186118602546036
Station 1,4620.0,4553.864321355698,-2.429648102232122,0.7284578539713424
Station 1,4630.0,4529.724284084726,-2.3979050022965147,0.7383408484178542
Station 1,4640.0,4505.9072869626225,-2.3655704080332276,0.7482585071105663
Station 1,4650.0,4482.414270668908,-2.332635733105835,0.7582082947490243
Station 1,4660.0,4459.256157180271,-2.299097301567004,0.7681874651869198
Station 1,4670.0,4436.436519551284,-2.264959150134421,0.7781930487551659
Station 1,4680.0,4413.959172478688,-2.2302086459508748,0.7882218389106281
Station 1,4690.0,4391.830507598449,-2.1948467285922466,0.7982703781852909
Station 1,4700.0,4370.061998230251,-2.15887316425838,0.8083349434124778
Station 1,4710.0,4348.6571504167805,-2.1222837330400623,0.8184115302094904
Station 1,4720.0,4327.621954627807,-2.085079699328094,0.8284958366998378
Station 1,4730.0,4306.958621659019,-2.047256255797984,0.8385832464634014
Station 1,4740.0,4286.677666674027,-2.0088188658828674,0.8486688107096826
Station 1,4750.0,4266.782783268721,-1.9697624294499478,0.8587472296780682
Station 1,4760.0,4247.284453793563,-1.9300923536903947,0.8688128332802674
Station 1,4770.0,4228.182025946195,-1.8898078405720717,0.8788595610141471
Station 1,4780.0,4209.490555638794,-1.848908254393778,0.888880941195725
Station 1,4790.0,4191.209333602373,-1.8074012315280124,0.8988700695776505
Station 1,4800.0,4173.3433832165165,-1.7652888277912528,0.9088195874488563
Station 1,4810.0,4155.905477862372,-1.7225744508175587,0.9187216593419202
Station 1,4820.0,4138.894008126999,-1.679262381225848,0.9285679505129314
Station 1,4830.0,4122.321295685836,-1.6353575273642127,0.9383496044041585
Station 1,4840.0,4106.189403043664,-1.5908684618320732,0.9480572203534504
Station 1,4850.0,4090.505811820115,-1.5458007436606946,0.9576808318767246
Station 1,4860.0,4075.276955469706,-1.5001630914670994,0.9672098859056498
Station 1,4870.0,4060.5052129052683,-1.4539639479622375,0.9766332235151359
Station 1,4880.0,4046.1973206347375,-1.4072128744254142,0.9859390626678093
Station 1,4890.0,4032.359136150994,-1.3599171646691688,0.9951149836553154
Station 1,4900.0,4019.002300944526,-1.3120922741108398,1.0041479180517356
Station 1,4910.0,4006.122528928522,-1.2637483401153666,1.0130241420860049
Station 1,4920.0,3993.728272016895,-1.214898341190271,1.021729275476004
Station 1,4930.0,3981.8248701215884,-1.1655553204683715,1.0302482868949496
Station 1,4940.0,3970.42018730655,-1.1157306066695913,1.0385655073634013
Station 1,4950.0,3959.510512098052,-1.0654476124012744,1.0466646529694186
Station 1,4960.0,3949.1103307154926,-1.01471589935957,1.0545288584046646
Station 1,4970.0,3939.2179619759254,-0.9635531222187009,1.0621407228525237
Station 1,4980.0,3929.8418310481748,-0.9119738498659293,1.0694823697603706
Station 1,4990.0,3920.9807845589285,-0.8600028667370616,1.0765355219547177
Station 1,5000.0,3912.6447688562766,-0.8076554376317862,1.0832815933967836
Station 1,5010.0,3904.8293587633,-0.7549505576911052,1.0897017986090853
Station 1,5020.0,3897.544522949057,-0.7019118231113569,1.0957772804149555
Station 1,5030.0,3890.792746092624,-0.6485569233599746,1.1014892561114482
Station 1,5040.0,3884.573883148971,-0.594909399965057,1.1068191815382378
Station 1,5050.0,3878.8938232898968,-0.54099054110363,1.111748931718406
Station 1,5060.0,3873.7561779662938,-0.4868226904756777,1.1162609958525713
Station 1,5070.0,3869.158696767923,-0.4324334830490488,1.1203386834831923
Station 1,5080.0,3865.1086391058047,-0.3778401795560456,1.123966337665263
Station 1,5090.0,3861.603297122485,-0.32307242827952687,1.127129550052895
Station 1,5100.0,3858.6468431472836,-0.268153347588826,1.129815372019682
Station 1,5110.0,3856.2404205519633,-0.21310292610454826,1.1320125153600575
Station 1,5120.0,3854.384897550438,-0.15795390611466897,1.1337115358499221
Station 1,5130.0,3853.0819220780554,-0.10272942575491487,1.1349049930425346
Station 1,5140.0,3852.330184754601,-0.04745133845191874,1.1355875801782036
Station 1,5150.0,3852.1306101841974,0.007849785196582247,1.135756218996042
Station 1,5160.0,3852.4876749364707,0.06315362397154761,1.1354101155149232
Station 1,5170.0,3853.395076872418,0.11842898095766871,1.134550774420687
Station 1,5180.0,3854.854622911121,0.1736533864233449,1.133181971446324
Station 1,5190.0,3856.8691199128057,0.22879899810973003,1.131309684928684
Station 1,5200.0,3859.43127589207,0.2838441939270671,1.1289419894310073
Station 1,5210.0,3862.543053237411,0.3387604258313805,1.1260889158078913
Station 1,5220.0,3866.2062892767203,0.39352453324140785,1.122762283255468
Station 1,5230.0,3870.41402858612,0.44811156568005484,1.1189755096555847
Station 1,5240.0,3875.166221809808,0.5024948015340338,1.1147434069650017
Station 1,5250.0,3880.464203626878,0.5566574386934101,1.1100819682623826
Station 1,5260.0,3886.299189245852,0.6105688616358431,1.1050081527664635
Station 1,5270.0,3892.6750887489625,0.6642091134864132,1.0995396744818886
