Time(s),Delta_X(km),Delta_Y(km),Delta_Z(km),Delta_VX(km/s),Delta_VY(km/s),Delta_VZ(km/s)
410.0000,9.3776753639e-01,4.1022896634e+00,3.0883521659e-02,-4.1089236241e-04,1.0050657158e-02,2.6224625188e-04
420.0000,9.3356790474e-01,4.2028072398e+00,3.3578646978e-02,-4.2909850986e-04,1.0052835193e-02,2.7683920787e-04
430.0000,9.2918427879e-01,4.3033458876e+00,3.6421507851e-02,-4.4769087302e-04,1.0054869347e-02,2.9179277086e-04
440.0000,9.2461280713e-01,4.4039041052e+00,3.9415692396e-02,-4.6666727320e-04,1.0056747064e-02,3.0710332859e-04
450.0000,9.1984966100e-01,4.5044802658e+00,4.2564751950e-02,-4.8602536151e-04,1.0058455872e-02,3.2276713784e-04
460.0000,9.1489103598e-01,4.6050726184e+00,4.5872199767e-02,-5.0576261980e-04,1.0059983391e-02,3.3878032556e-04
470.0000,9.0973315364e-01,4.7056792884e+00,4.9341509734e-02,-5.2587636156e-04,1.0061317329e-02,3.5513889018e-04
480.0000,9.0437226329e-01,4.8062982790e+00,5.2976115078e-02,-5.4636373293e-04,1.0062445489e-02,3.7183870277e-04
490.0000,8.9880464360e-01,4.9069274719e+00,5.6779407113e-02,-5.6722171364e-04,1.0063355775e-02,3.8887550842e-04
500.0000,8.9302660426e-01,5.0075646283e+00,6.0754733974e-02,-5.8844711808e-04,1.0064036188e-02,4.0624492745e-04
510.0000,8.8703448763e-01,5.1082073898e+00,6.4905399383e-02,-6.1003659638e-04,1.0064474834e-02,4.2394245680e-04
520.0000,8.8082467043e-01,5.2088532797e+00,6.9234661416e-02,-6.3198663548e-04,1.0064659926e-02,4.4196347139e-04
530.0000,8.7439356528e-01,5.3094997042e+00,7.3745731296e-02,-6.5429356031e-04,1.0064579789e-02,4.6030322543e-04
540.0000,8.6773762237e-01,5.4101439529e+00,7.8441772187e-02,-6.7695353489e-04,1.0064222856e-02,4.7895685389e-04
550.0000,8.6085333106e-01,5.5107832005e+00,8.3325898017e-02,-6.9996256362e-04,1.0063577680e-02,4.9791937390e-04
560.0000,8.5373722144e-01,5.6114145079e+00,8.8401172300e-02,-7.2331649245e-04,1.0062632930e-02,5.1718568621e-04
570.0000,8.4638586593e-01,5.7120348231e+00,9.3670606989e-02,-7.4701101016e-04,1.0061377398e-02,5.3675057663e-04
580.0000,8.3879588084e-01,5.8126409829e+00,9.9137161323e-02,-7.7104164969e-04,1.0059799999e-02,5.5660871756e-04
590.0000,8.3096392793e-01,5.9132297137e+00,1.0480374071e-01,-7.9540378943e-04,1.0057889776e-02,5.7675466949e-04
600.0000,8.2288671594e-01,6.0137976329e+00,1.1067319560e-01,-8.2009265463e-04,1.0055635902e-02,5.9718288255e-04
610.0000,8.1456100213e-01,6.1143412505e+00,1.1674832041e-01,-8.4510331875e-04,1.0053027681e-02,6.1788769806e-04
620.0000,8.0598359378e-01,6.2148569702e+00,1.2303185239e-01,-8.7043070492e-04,1.0050054555e-02,6.3886335012e-04
630.0000,7.9715134968e-01,6.3153410905e+00,1.2952647065e-01,-8.9606958737e-04,1.0046706102e-02,6.6010396719e-04
640.0000,7.8806118160e-01,6.4157898068e+00,1.3623479505e-01,-9.2201459296e-04,1.0042972041e-02,6.8160357377e-04
650.0000,7.7871005579e-01,6.5161992122e+00,1.4315938517e-01,-9.4826020265e-04,1.0038842235e-02,7.0335609200e-04
660.0000,7.6909499440e-01,6.6165652991e+00,1.5030273934e-01,-9.7480075308e-04,1.0034306693e-02,7.2535534332e-04
670.0000,7.5921307693e-01,6.7168839608e+00,1.5766729357e-01,-1.0016304381e-03,1.0029355572e-02,7.4759505020e-04
680.0000,7.4906144165e-01,6.8171509929e+00,1.6525542064e-01,-1.0287433106e-03,1.0023979181e-02,7.7006883781e-04
690.0000,7.3863728700e-01,6.9173620950e+00,1.7306942906e-01,-1.0561332836e-03,1.0018167980e-02,7.9277023575e-04
700.0000,7.2793787301e-01,7.0175128719e+00,1.8111156221e-01,-1.0837941326e-03,1.0011912588e-02,8.1569267981e-04
710.0000,7.1696052259e-01,7.1175988354e+00,1.8938399733e-01,-1.1117194970e-03,1.0005203782e-02,8.3882951371e-04
720.0000,7.0570262297e-01,7.2176154059e+00,1.9788884465e-01,-1.1399028814e-03,9.9980324989e-03,8.6217399090e-04
730.0000,6.9416162699e-01,7.3175579141e+00,2.0662814650e-01,-1.1683376580e-03,9.9903898384e-03,8.8571927636e-04
740.0000,6.8233505441e-01,7.4174216023e+00,2.1560387642e-01,-1.1970170682e-03,9.9822670671e-03,9.0945844839e-04
750.0000,6.7022049322e-01,7.5172016265e+00,2.2481793833e-01,-1.2259342240e-03,9.9736556189e-03,9.3338450048e-04
760.0000,6.5781560092e-01,7.6168930577e+00,2.3427216566e-01,-1.2550821104e-03,9.9645470976e-03,9.5749034313e-04
770.0000,6.4511810579e-01,7.7164908841e+00,2.4396832053e-01,-1.2844535869e-03,9.9549332799e-03,9.8176880575e-04
780.0000,6.3212580813e-01,7.8159900121e+00,2.5390809297e-01,-1.3140413894e-03,9.9448061164e-03,1.0062126385e-03
