Time(s),Delta_X(km),Delta_Y(km),Delta_Z(km),Delta_VX(km/s),Delta_VY(km/s),Delta_VZ(km/s)
37980.0000,-4.0094879905e+02,3.3243179538e+02,3.8529549352e+02,-1.9725186496e-01,-3.2477393690e-01,1.1204762160e-01
37990.0000,-4.0291394721e+02,3.2917631434e+02,3.8640861857e+02,-1.9577615202e-01,-3.2632003572e-01,1.1057640323e-01
38000.0000,-4.0486428989e+02,3.2590543951e+02,3.8750700200e+02,-1.9429078075e-01,-3.2785268164e-01,1.0909930837e-01
38010.0000,-4.0679973084e+02,3.2261930582e+02,3.8859058537e+02,-1.9279581645e-01,-3.2937179073e-01,1.0761640457e-01
38020.0000,-4.0872017446e+02,3.1931804907e+02,3.8965931095e+02,-1.9129132497e-01,-3.3087727974e-01,1.0612775975e-01
38030.0000,-4.1062552581e+02,3.1600180588e+02,3.9071312165e+02,-1.8977737276e-01,-3.3236906614e-01,1.0463344220e-01
38040.0000,-4.1251569060e+02,3.1267071367e+02,3.9175196110e+02,-1.8825402684e-01,-3.3384706811e-01,1.0313352058e-01
38050.0000,-4.1439057526e+02,3.0932491071e+02,3.9277577361e+02,-1.8672135484e-01,-3.3531120451e-01,1.0162806393e-01
38060.0000,-4.1625008684e+02,3.0596453605e+02,3.9378450416e+02,-1.8517942491e-01,-3.3676139498e-01,1.0011714161e-01
38070.0000,-4.1809413312e+02,3.0258972956e+02,3.9477809845e+02,-1.8362830579e-01,-3.3819755984e-01,9.8600823385e-02
38080.0000,-4.1992262256e+02,2.9920063187e+02,3.9575650288e+02,-1.8206806680e-01,-3.3961962015e-01,9.7079179333e-02
38090.0000,-4.2173546429e+02,2.9579738443e+02,3.9671966452e+02,-1.8049877779e-01,-3.4102749773e-01,9.5552279894e-02
38100.0000,-4.2353256818e+02,2.9238012945e+02,3.9766753119e+02,-1.7892050918e-01,-3.4242111513e-01,9.4020195846e-02
38110.0000,-4.2531384478e+02,2.8894900991e+02,3.9860005139e+02,-1.7733333193e-01,-3.4380039564e-01,9.2482998302e-02
38120.0000,-4.2707920536e+02,2.8550416958e+02,3.9951717435e+02,-1.7573731755e-01,-3.4516526334e-01,9.0940758708e-02
38130.0000,-4.2882856191e+02,2.8204575294e+02,4.0041885000e+02,-1.7413253810e-01,-3.4651564304e-01,8.9393548838e-02
38140.0000,-4.3056182715e+02,2.7857390526e+02,4.0130502900e+02,-1.7251906614e-01,-3.4785146033e-01,8.7841440787e-02
38150.0000,-4.3227891451e+02,2.7508877252e+02,4.0217566273e+02,-1.7089697480e-01,-3.4917264158e-01,8.6284506968e-02
38160.0000,-4.3397973816e+02,2.7159050145e+02,4.0303070329e+02,-1.6926633773e-01,-3.5047911394e-01,8.4722820105e-02
38170.0000,-4.3566421302e+02,2.6807923951e+02,4.0387010353e+02,-1.6762722907e-01,-3.5177080532e-01,8.3156453234e-02
38180.0000,-4.3733225475e+02,2.6455513485e+02,4.0469381700e+02,-1.6597972351e-01,-3.5304764445e-01,8.1585479689e-02
38190.0000,-4.3898377975e+02,2.6101833636e+02,4.0550179801e+02,-1.6432389623e-01,-3.5430956083e-01,8.0009973105e-02
38200.0000,-4.4061870519e+02,2.5746899360e+02,4.0629400160e+02,-1.6265982294e-01,-3.5555648480e-01,7.8430007411e-02
38210.0000,-4.4223694897e+02,2.5390725686e+02,4.0707038354e+02,-1.6098757982e-01,-3.5678834745e-01,7.6845656821e-02
38220.0000,-4.4383842980e+02,2.5033327708e+02,4.0783090036e+02,-1.5930724358e-01,-3.5800508073e-01,7.5256995834e-02
38230.0000,-4.4542306713e+02,2.4674720589e+02,4.0857550934e+02,-1.5761889138e-01,-3.5920661737e-01,7.3664099227e-02
38240.0000,-4.4699078117e+02,2.4314919561e+02,4.0930416848e+02,-1.5592260091e-01,-3.6039289095e-01,7.2067042051e-02
38250.0000,-4.4854149294e+02,2.3953939917e+02,4.1001683656e+02,-1.5421845031e-01,-3.6156383585e-01,7.0465899624e-02
38260.0000,-4.5007512424e+02,2.3591797020e+02,4.1071347311e+02,-1.5250651822e-01,-3.6271938731e-01,6.8860747526e-02
38270.0000,-4.5159159764e+02,2.3228506296e+02,4.1139403840e+02,-1.5078688371e-01,-3.6385948136e-01,6.7251661597e-02
38280.0000,-4.5309083651e+02,2.2864083232e+02,4.1205849349e+02,-1.4905962636e-01,-3.6498405492e-01,6.5638717928e-02
38290.0000,-4.5457276502e+02,2.2498543381e+02,4.1270680016e+02,-1.4732482620e-01,-3.6609304573e-01,6.4021992859e-02
38300.0000,-4.5603730816e+02,2.2131902357e+02,4.1333892100e+02,-1.4558256368e-01,-3.6718639236e-01,6.2401562971e-02
38310.0000,-4.5748439170e+02,2.1764175833e+02,4.1395481934e+02,-1.4383291974e-01,-3.6826403428e-01,6.0777505082e-02
38320.0000,-4.5891394223e+02,2.1395379545e+02,4.1455445927e+02,-1.4207597574e-01,-3.6932591177e-01,5.9149896243e-02
38330.0000,-4.6032588716e+02,2.1025529286e+02,4.1513780569e+02,-1.4031181350e-01,-3.7037196600e-01,5.7518813732e-02
38340.0000,-4.6172015472e+02,2.0654640908e+02,4.1570482423e+02,-1.3854051524e-01,-3.7140213900e-01,5.5884335045e-02
38350.0000,-4.6309667395e+02,2.0282730322e+02,4.1625548133e+02,-1.3676216363e-01,-3.7241637367e-01,5.4246537899e-02
38360.0000,-4.6445537476e+02,1.9909813493e+02,4.1678974419e+02,-1.3497684176e-01,-3.7341461379e-01,5.2605500219e-02
38370.0000,-4.6579618783e+02,1.9535906444e+02,4.1730758079e+02,-1.3318463312e-01,-3.7439680400e-01,5.0961300133e-02
38380.0000,-4.6711904474e+02,1.9161025253e+02,4.1780895991e+02,-1.3138562164e-01,-3.7536288984e-01,4.9314015975e-02
38390.0000,-4.6842387787e+02,1.8785186049e+02,4.1829385109e+02,-1.2957989161e-01,-3.7631281773e-01,4.7663726267e-02
38400.0000,-4.6971062045e+02,1.8408405019e+02,4.1876222467e+02,-1.2776752776e-01,-3.7724653499e-01,4.6010509725e-02
38410.0000,-4.7097920659e+02,1.8030698398e+02,4.1921405178e+02,-1.2594861518e-01,-3.7816398982e-01,4.4354445247e-02
38420.0000,-4.7222957121e+02,1.7652082475e+02,4.1964930434e+02,-1.2412323937e-01,-3.7906513132e-01,4.2695611908e-02
38430.0000,-4.7346165011e+02,1.7272573589e+02,4.2006795505e+02,-1.2229148620e-01,-3.7994990950e-01,4.1034088960e-02
38440.0000,-4.7467537996e+02,1.6892188127e+02,4.2046997742e+02,-1.2045344192e-01,-3.8081827526e-01,3.9369955818e-02
38450.0000,-4.7587069827e+02,1.6510942525e+02,4.2085534573e+02,-1.1860919313e-01,-3.8167018041e-01,3.7703292063e-02
38460.0000,-4.7704754343e+02,1.6128853269e+02,4.2122403509e+02,-1.1675882683e-01,-3.8250557768e-01,3.6034177431e-02
38470.0000,-4.7820585470e+02,1.5745936888e+02,4.2157602138e+02,-1.1490243033e-01,-3.8332442071e-01,3.4362691808e-02
38480.0000,-4.7934557223e+02,1.5362209960e+02,4.2191128129e+02,-1.1304009134e-01,-3.8412666406e-01,3.2688915227e-02
38490.0000,-4.8046663701e+02,1.4977689108e+02,4.2222979231e+02,-1.1117189787e-01,-3.8491226319e-01,3.1012927861e-02
38500.0000,-4.8156899096e+02,1.4592390997e+02,4.2253153274e+02,-1.0929793829e-01,-3.8568117451e-01,2.9334810018e-02
38510.0000,-4.8265257686e+02,1.4206332336e+02,4.2281648168e+02,-1.0741830131e-01,-3.8643335535e-01,2.7654642133e-02
38520.0000,-4.8371733836e+02,1.3819529877e+02,4.2308461902e+02,-1.0553307595e-01,-3.8716876395e-01,2.5972504767e-02
38530.0000,-4.8476322004e+02,1.3432000412e+02,4.2333592548e+02,-1.0364235156e-01,-3.8788735950e-01,2.4288478598e-02
38540.0000,-4.8579016736e+02,1.3043760775e+02,4.2357038256e+02,-1.0174621779e-01,-3.8858910212e-01,2.2602644415e-02
38550.0000,-4.8679812667e+02,1.2654827838e+02,4.2378797260e+02,-9.9844764625e-02,-3.8927395286e-01,2.0915083116e-02
38560.0000,-4.8778704522e+02,1.2265218512e+02,4.2398867874e+02,-9.7938082323e-02,-3.8994187372e-01,1.9225875698e-02
38570.0000,-4.8875687118e+02,1.1874949746e+02,4.2417248490e+02,-9.6026261451e-02,-3.9059282763e-01,1.7535103257e-02
38580.0000,-4.8970755362e+02,1.1484038524e+02,4.2433937585e+02,-9.4109392862e-02,-3.9122677848e-01,1.5842846975e-02
38590.0000,-4.9063904251e+02,1.1092501868e+02,4.2448933716e+02,-9.2187567692e-02,-3.9184369107e-01,1.4149188121e-02
38600.0000,-4.9155128875e+02,1.0700356833e+02,4.2462235521e+02,-9.0260877352e-02,-3.9244353120e-01,1.2454208042e-02
38610.0000,-4.9244424415e+02,1.0307620507e+02,4.2473841719e+02,-8.8329413524e-02,-3.9302626557e-01,1.0757988159e-02
38620.0000,-4.9331786142e+02,9.9143100143e+01,4.2483751111e+02,-8.6393268153e-02,-3.9359186186e-01,9.0606099606e-03
38630.0000,-4.9417209422e+02,9.5204425072e+01,4.2491962580e+02,-8.4452533440e-02,-3.9414028870e-01,7.3621549968e-03
38640.0000,-4.9500689710e+02,9.1260351707e+01,4.2498475090e+02,-8.2507301838e-02,-3.9467151567e-01,5.6627048746e-03
38650.0000,-4.9582222558e+02,8.7311052196e+01,4.2503287686e+02,-8.0557666043e-02,-3.9518551330e-01,3.9623412518e-03
38660.0000,-4.9661803606e+02,8.3356698975e+01,4.2506399496e+02,-7.8603718989e-02,-3.9568225311e-01,2.2611458314e-03
38670.0000,-4.9739428591e+02,7.9397464761e+01,4.2507809728e+02,-7.6645553842e-02,-3.9616170753e-01,5.5920035629e-04
38680.0000,-4.9815093340e+02,7.5433522541e+01,4.2507517675e+02,-7.4683263990e-02,-3.9662385000e-01,-1.1434133967e-03
38690.0000,-4.9888793776e+02,7.1465045564e+01,4.2505522707e+02,-7.2716943043e-02,-3.9706865489e-01,-2.8466136223e-03
38700.0000,-4.9960525914e+02,6.7492207327e+01,4.2501824280e+02,-7.0746684819e-02,-3.9749609755e-01,-4.5503184922e-03
38710.0000,-5.0030285865e+02,6.3515181574e+01,4.2496421930e+02,-6.8772583345e-02,-3.9790615428e-01,-6.2544461611e-03
38720.0000,-5.0098069832e+02,5.9534142276e+01,4.2489315274e+02,-6.6794732842e-02,-3.9829880237e-01,-7.9589147718e-03
38730.0000,-5.0163874113e+02,5.5549263630e+01,4.2480504014e+02,-6.4813227727e-02,-3.9867402005e-01,-9.6636424612e-03
38740.0000,-5.0227695100e+02,5.1560720044e+01,4.2469987930e+02,-6.2828162601e-02,-3.9903178655e-01,-1.1368547366e-02
38750.0000,-5.0289529282e+02,4.7568686130e+01,4.2457766887e+02,-6.0839632243e-02,-3.9937208204e-01,-1.3073547626e-02
38760.0000,-5.0349373240e+02,4.3573336693e+01,4.2443840830e+02,-5.8847731606e-02,-3.9969488766e-01,-1.4778561396e-02
38770.0000,-5.0407223653e+02,3.9574846724e+01,4.2428209786e+02,-5.6852555807e-02,-4.0000018555e-01,-1.6483506843e-02
38780.0000,-5.0463077291e+02,3.5573391387e+01,4.2410873865e+02,-5.4854200123e-02,-4.0028795880e-01,-1.8188302158e-02
38790.0000,-5.0516931024e+02,3.1569146010e+01,4.2391833258e+02,-5.2852759983e-02,-4.0055819146e-01,-1.9892865559e-02
38800.0000,-5.0568781815e+02,2.7562286074e+01,4.2371088238e+02,-5.0848330963e-02,-4.0081086857e-01,-2.1597115296e-02
38810.0000,-5.0618626721e+02,2.3552987204e+01,4.2348639159e+02,-4.8841008779e-02,-4.0104597614e-01,-2.3300969657e-02
38820.0000,-5.0666462900e+02,1.9541425160e+01,4.2324486458e+02,-4.6830889276e-02,-4.0126350114e-01,-2.5004346975e-02
38830.0000,-5.0712287599e+02,1.5527775829e+01,4.2298630652e+02,-4.4818068430e-02,-4.0146343152e-01,-2.6707165632e-02
38840.0000,-5.0756098168e+02,1.1512215215e+01,4.2271072340e+02,-4.2802642333e-02,-4.0164575621e-01,-2.8409344065e-02
38850.0000,-5.0797892048e+02,7.4949194248e+00,4.2241812204e+02,-4.0784707191e-02,-4.0181046510e-01,-3.0110800772e-02
38860.0000,-5.0837666778e+02,3.4760646631e+00,4.2210851006e+02,-3.8764359317e-02,-4.0195754905e-01,-3.1811454316e-02
38870.0000,-5.0875419994e+02,-5.4417277908e-01,4.2178189590e+02,-3.6741695121e-02,-4.0208699990e-01,-3.3511223331e-02
38880.0000,-5.0911149428e+02,-4.5656165340e+00,4.2143828881e+02,-3.4716811108e-02,-4.0219881046e-01,-3.5210026530e-02
38890.0000,-5.0944852909e+02,-8.5880901668e+00,4.2107769886e+02,-3.2689803871e-02,-4.0229297451e-01,-3.6907782706e-02
38900.0000,-5.0976528360e+02,-1.2611417185e+01,4.2070013692e+02,-3.0660770078e-02,-4.0236948679e-01,-3.8604410739e-02
38910.0000,-5.1006173805e+02,-1.6635421050e+01,4.2030561467e+02,-2.8629806475e-02,-4.0242834304e-01,-4.0299829606e-02
38920.0000,-5.1033787362e+02,-2.0659925183e+01,4.1989414462e+02,-2.6597009870e-02,-4.0246953993e-01,-4.1993958379e-02
38930.0000,-5.1059367246e+02,-2.4684752977e+01,4.1946574007e+02,-2.4562477135e-02,-4.0249307513e-01,-4.3686716234e-02
38940.0000,-5.1082911770e+02,-2.8709727809e+01,4.1902041513e+02,-2.2526305193e-02,-4.0249894726e-01,-4.5378022457e-02
38950.0000,-5.1104419342e+02,-3.2734673045e+01,4.1855818473e+02,-2.0488591013e-02,-4.0248715591e-01,-4.7067796450e-02
38960.0000,-5.1123888470e+02,-3.6759412052e+01,4.1807906458e+02,-1.8449431606e-02,-4.0245770164e-01,-4.8755957732e-02
38970.0000,-5.1141317756e+02,-4.0783768207e+01,4.1758307122e+02,-1.6408924014e-02,-4.0241058597e-01,-5.0442425948e-02
38980.0000,-5.1156705901e+02,-4.4807564909e+01,4.1707022197e+02,-1.4367165309e-02,-4.0234581139e-01,-5.2127120874e-02
38990.0000,-5.1170051702e+02,-4.8830625583e+01,4.1654053498e+02,-1.2324252582e-02,-4.0226338134e-01,-5.3809962422e-02
39000.0000,-5.1181354054e+02,-5.2852773698e+01,4.1599402917e+02,-1.0280282936e-02,-4.0216330023e-01,-5.5490870644e-02
39010.0000,-5.1190611949e+02,-5.6873832767e+01,4.1543072428e+02,-8.2353534829e-03,-4.0204557343e-01,-5.7169765737e-02
39020.0000,-5.1197824474e+02,-6.0893626366e+01,4.1485064084e+02,-6.1895613359e-03,-4.0191020726e-01,-5.8846568052e-02
39030.0000,-5.1202990817e+02,-6.4911978136e+01,4.1425380017e+02,-4.1430036013e-03,-4.0175720900e-01,-6.0521198095e-02
39040.0000,-5.1206110260e+02,-6.8928711797e+01,4.1364022439e+02,-2.0957773732e-03,-4.0158658690e-01,-6.2193576532e-02
39050.0000,-5.1207182182e+02,-7.2943651156e+01,4.1300993642e+02,-4.7979726948e-05,-4.0139835014e-01,-6.3863624197e-02
39060.0000,-5.1206206062e+02,-7.6956620116e+01,4.1236295995e+02,2.0002922874e-03,-4.0119250885e-01,-6.5531262098e-02
39070.0000,-5.1203181473e+02,-8.0967442686e+01,4.1169931948e+02,4.0489416517e-03,-4.0096907414e-01,-6.7196411416e-02
39080.0000,-5.1198108086e+02,-8.4975942992e+01,4.1101904028e+02,6.0978713860e-03,-4.0072805802e-01,-6.8858993516e-02
39090.0000,-5.1190985669e+02,-8.8981945284e+01,4.1032214843e+02,8.1469845554e-03,-4.0046947349e-01,-7.0518929951e-02
39100.0000,-5.1181814087e+02,-9.2985273947e+01,4.0960867076e+02,1.0196184276e-02,-4.0019333447e-01,-7.2176142462e-02
39110.0000,-5.1170593303e+02,-9.6985753509e+01,4.0887863491e+02,1.2245373721e-02,-3.9989965582e-01,-7.3830552991e-02
39120.0000,-5.1157323375e+02,-1.0098320865e+02,4.0813206929e+02,1.4294456128e-02,-3.9958845335e-01,-7.5482083681e-02
39130.0000,-5.1142004457e+02,-1.0497746422e+02,4.0736900309e+02,1.6343334805e-02,-3.9925974379e-01,-7.7130656880e-02
39140.0000,-5.1124636804e+02,-1.0896834523e+02,4.0658946626e+02,1.8391913138e-02,-3.9891354482e-01,-7.8776195150e-02
39150.0000,-5.1105220763e+02,-1.1295567688e+02,4.0579348955e+02,2.0440094594e-02,-3.9854987505e-01,-8.0418621268e-02
39160.0000,-5.1083756779e+02,-1.1693928456e+02,4.0498110446e+02,2.2487782729e-02,-3.9816875400e-01,-8.2057858232e-02
39170.0000,-5.1060245394e+02,-1.2091899386e+02,4.0415234327e+02,2.4534881196e-02,-3.9777020213e-01,-8.3693829266e-02
39180.0000,-5.1034687245e+02,-1.2489463057e+02,4.0330723902e+02,2.6581293748e-02,-3.9735424082e-01,-8.5326457825e-02
39190.0000,-5.1007083067e+02,-1.2886602072e+02,4.0244582551e+02,2.8626924249e-02,-3.9692089238e-01,-8.6955667601e-02
39200.0000,-5.0977433689e+02,-1.3283299054e+02,4.0156813732e+02,3.0671676674e-02,-3.9647018001e-01,-8.8581382524e-02
39210.0000,-5.0945740038e+02,-1.3679536652e+02,4.0067420976e+02,3.2715455121e-02,-3.9600212785e-01,-9.0203526770e-02
39220.0000,-5.0912003136e+02,-1.4075297538e+02,3.9976407894e+02,3.4758163813e-02,-3.9551676095e-01,-9.1822024764e-02
39230.0000,-5.0876224099e+02,-1.4470564411e+02,3.9883778167e+02,3.6799707106e-02,-3.9501410525e-01,-9.3436801187e-02
39240.0000,-5.0838404142e+02,-1.4865319995e+02,3.9789535557e+02,3.8839989497e-02,-3.9449418761e-01,-9.5047780976e-02
39250.0000,-5.0798544572e+02,-1.5259547041e+02,3.9693683896e+02,4.0878915624e-02,-3.9395703578e-01,-9.6654889333e-02
39260.0000,-5.0756646794e+02,-1.5653228331e+02,3.9596227093e+02,4.2916390280e-02,-3.9340267842e-01,-9.8258051728e-02
39270.0000,-5.0712712307e+02,-1.6046346673e+02,3.9497169132e+02,4.4952318413e-02,-3.9283114508e-01,-9.9857193902e-02
39280.0000,-5.0666742704e+02,-1.6438884906e+02,3.9396514070e+02,4.6986605133e-02,-3.9224246620e-01,-1.0145224187e-01
39290.0000,-5.0618739675e+02,-1.6830825900e+02,3.9294266037e+02,4.9019155722e-02,-3.9163667311e-01,-1.0304312194e-01
39300.0000,-5.0568705002e+02,-1.7222152558e+02,3.9190429239e+02,5.1049875635e-02,-3.9101379802e-01,-1.0462976069e-01
39310.0000,-5.0516640565e+02,-1.7612847813e+02,3.9085007954e+02,5.3078670508e-02,-3.9037387403e-01,-1.0621208499e-01
39320.0000,-5.0462548334e+02,-1.8002894634e+02,3.8978006532e+02,5.5105446164e-02,-3.8971693509e-01,-1.0779002202e-01
39330.0000,-5.0406430377e+02,-1.8392276024e+02,3.8869429396e+02,5.7130108618e-02,-3.8904301606e-01,-1.0936349924e-01
39340.0000,-5.0348288853e+02,-1.8780975018e+02,3.8759281044e+02,5.9152564084e-02,-3.8835215264e-01,-1.1093244441e-01
39350.0000,-5.0288126016e+02,-1.9168974693e+02,3.8647566043e+02,6.1172718981e-02,-3.8764438140e-01,-1.1249678563e-01
39360.0000,-5.0225944213e+02,-1.9556258158e+02,3.8534289032e+02,6.3190479936e-02,-3.8691973980e-01,-1.1405645126e-01
39370.0000,-5.0161745886e+02,-1.9942808562e+02,3.8419454723e+02,6.5205753791e-02,-3.8617826611e-01,-1.1561137001e-01
39380.0000,-5.0095533567e+02,-2.0328609093e+02,3.8303067898e+02,6.7218447613e-02,-3.8541999948e-01,-1.1716147091e-01
39390.0000,-5.0027309883e+02,-2.0713642977e+02,3.8185133411e+02,6.9228468693e-02,-3.8464497990e-01,-1.1870668329e-01
39400.0000,-4.9957077552e+02,-2.1097893482e+02,3.8065656186e+02,7.1235724553e-02,-3.8385324822e-01,-1.2024693682e-01
39410.0000,-4.9884839387e+02,-2.1481343917e+02,3.7944641215e+02,7.3240122958e-02,-3.8304484610e-01,-1.2178216151e-01
39420.0000,-4.9810598290e+02,-2.1863977632e+02,3.7822093563e+02,7.5241571911e-02,-3.8221981607e-01,-1.2331228769e-01
39430.0000,-4.9734357258e+02,-2.2245778021e+02,3.7698018363e+02,7.7239979668e-02,-3.8137820146e-01,-1.2483724603e-01
39440.0000,-4.9656119376e+02,-2.2626728522e+02,3.7572420817e+02,7.9235254738e-02,-3.8052004644e-01,-1.2635696754e-01
39450.0000,-4.9575887823e+02,-2.3006812616e+02,3.7445306196e+02,8.1227305889e-02,-3.7964539601e-01,-1.2787138360e-01
39460.0000,-4.9493665869e+02,-2.3386013831e+02,3.7316679841e+02,8.3216042157e-02,-3.7875429596e-01,-1.2938042591e-01
39470.0000,-4.9409456873e+02,-2.3764315740e+02,3.7186547158e+02,8.5201372846e-02,-3.7784679293e-01,-1.3088402654e-01
39480.0000,-4.9323264287e+02,-2.4141701964e+02,3.7054913623e+02,8.7183207538e-02,-3.7692293434e-01,-1.3238211791e-01
39490.0000,-4.9235091652e+02,-2.4518156172e+02,3.6921784780e+02,8.9161456094e-02,-3.7598276842e-01,-1.3387463280e-01
39500.0000,-4.9144942599e+02,-2.4893662081e+02,3.6787166238e+02,9.1136028664e-02,-3.7502634420e-01,-1.3536150436e-01
39510.0000,-4.9052820849e+02,-2.5268203457e+02,3.6651063674e+02,9.3106835687e-02,-3.7405371151e-01,-1.3684266611e-01
39520.0000,-4.8958730213e+02,-2.5641764118e+02,3.6513482831e+02,9.5073787900e-02,-3.7306492095e-01,-1.3831805194e-01
39530.0000,-4.8862674588e+02,-2.6014327930e+02,3.6374429517e+02,9.7036796342e-02,-3.7206002392e-01,-1.3978759610e-01
39540.0000,-4.8764657964e+02,-2.6385878814e+02,3.6233909607e+02,9.8995772356e-02,-3.7103907258e-01,-1.4125123323e-01
39550.0000,-4.8664684417e+02,-2.6756400742e+02,3.6091929041e+02,1.0095062760e-01,-3.7000211988e-01,-1.4270889836e-01
39560.0000,-4.8562758112e+02,-2.7125877738e+02,3.5948493823e+02,1.0290127405e-01,-3.6894921954e-01,-1.4416052689e-01
39570.0000,-4.8458883301e+02,-2.7494293883e+02,3.5803610021e+02,1.0484762399e-01,-3.6788042602e-01,-1.4560605461e-01
39580.0000,-4.8353064325e+02,-2.7861633311e+02,3.5657283769e+02,1.0678959006e-01,-3.6679579456e-01,-1.4704541771e-01
39590.0000,-4.8245305611e+02,-2.8227880212e+02,3.5509521262e+02,1.0872708519e-01,-3.6569538114e-01,-1.4847855278e-01
39600.0000,-4.8135611674e+02,-2.8593018831e+02,3.5360328760e+02,1.1066002269e-01,-3.6457924248e-01,-1.4990539677e-01
39610.0000,-4.8023987114e+02,-2.8957033474e+02,3.5209712586e+02,1.1258831618e-01,-3.6344743607e-01,-1.5132588708e-01
39620.0000,-4.7910436618e+02,-2.9319908500e+02,3.5057679124e+02,1.1451187963e-01,-3.6230002011e-01,-1.5273996148e-01
39630.0000,-4.7794964959e+02,-2.9681628330e+02,3.4904234822e+02,1.1643062737e-01,-3.6113705353e-01,-1.5414755815e-01
39640.0000,-4.7677576997e+02,-3.0042177443e+02,3.4749386188e+02,1.1834447408e-01,-3.5995859599e-01,-1.5554861571e-01
39650.0000,-4.7558277673e+02,-3.0401540378e+02,3.4593139790e+02,1.2025333480e-01,-3.5876470788e-01,-1.5694307314e-01
39660.0000,-4.7437072017e+02,-3.0759701735e+02,3.4435502261e+02,1.2215712493e-01,-3.5755545029e-01,-1.5833086989e-01
39670.0000,-4.7313965141e+02,-3.1116646176e+02,3.4276480291e+02,1.2405576024e-01,-3.5633088502e-01,-1.5971194578e-01
39680.0000,-4.7188962242e+02,-3.1472358424e+02,3.4116080630e+02,1.2594915687e-01,-3.5509107457e-01,-1.6108624109e-01
39690.0000,-4.7062068601e+02,-3.1826823264e+02,3.3954310089e+02,1.2783723135e-01,-3.5383608215e-01,-1.6245369650e-01
39700.0000,-4.6933289581e+02,-3.2180025549e+02,3.3791175536e+02,1.2971990056e-01,-3.5256597164e-01,-1.6381425311e-01
39710.0000,-4.6802630630e+02,-3.2531950190e+02,3.3626683902e+02,1.3159708181e-01,-3.5128080762e-01,-1.6516785248e-01
39720.0000,-4.6670097275e+02,-3.2882582168e+02,3.3460842170e+02,1.3346869276e-01,-3.4998065535e-01,-1.6651443657e-01
39730.0000,-4.6535695129e+02,-3.3231906528e+02,3.3293657386e+02,1.3533465148e-01,-3.4866558074e-01,-1.6785394779e-01
39740.0000,-4.6399429884e+02,-3.3579908379e+02,3.3125136652e+02,1.3719487644e-01,-3.4733565040e-01,-1.6918632898e-01
39750.0000,-4.6261307315e+02,-3.3926572900e+02,3.2955287125e+02,1.3904928651e-01,-3.4599093158e-01,-1.7051152341e-01
39760.0000,-4.6121333277e+02,-3.4271885336e+02,3.2784116020e+02,1.4089780096e-01,-3.4463149218e-01,-1.7182947482e-01
39770.0000,-4.5979513706e+02,-3.4615831001e+02,3.2611630609e+02,1.4274033948e-01,-3.4325740078e-01,-1.7314012736e-01
39780.0000,-4.5835854618e+02,-3.4958395278e+02,3.2437838217e+02,1.4457682215e-01,-3.4186872657e-01,-1.7444342564e-01
39790.0000,-4.5690362108e+02,-3.5299563617e+02,3.2262746228e+02,1.4640716951e-01,-3.4046553938e-01,-1.7573931473e-01
39800.0000,-4.5543042351e+02,-3.5639321543e+02,3.2086362076e+02,1.4823130247e-01,-3.3904790970e-01,-1.7702774012e-01
39810.0000,-4.5393901601e+02,-3.5977654646e+02,3.1908693253e+02,1.5004914241e-01,-3.3761590861e-01,-1.7830864779e-01
39820.0000,-4.5242946189e+02,-3.6314548593e+02,3.1729747304e+02,1.5186061111e-01,-3.3616960783e-01,-1.7958198413e-01
39830.0000,-4.5090182527e+02,-3.6649989119e+02,3.1549531826e+02,1.5366563079e-01,-3.3470907969e-01,-1.8084769602e-01
39840.0000,-4.4935617102e+02,-3.6983962033e+02,3.1368054470e+02,1.5546412411e-01,-3.3323439711e-01,-1.8210573080e-01
39850.0000,-4.4779256479e+02,-3.7316453218e+02,3.1185322940e+02,1.5725601416e-01,-3.3174563363e-01,-1.8335603624e-01
39860.0000,-4.4621107300e+02,-3.7647448630e+02,3.1001344991e+02,1.5904122449e-01,-3.3024286337e-01,-1.8459856059e-01
39870.0000,-4.4461176282e+02,-3.7976934300e+02,3.0816128430e+02,1.6081967908e-01,-3.2872616106e-01,-1.8583325258e-01
39880.0000,-4.4299470218e+02,-3.8304896333e+02,3.0629681113e+02,1.6259130237e-01,-3.2719560197e-01,-1.8706006138e-01
39890.0000,-4.4135995979e+02,-3.8631320910e+02,3.0442010951e+02,1.6435601923e-01,-3.2565126198e-01,-1.8827893663e-01
39900.0000,-4.3970760507e+02,-3.8956194289e+02,3.0253125901e+02,1.6611375502e-01,-3.2409321753e-01,-1.8948982845e-01
39910.0000,-4.3803770821e+02,-3.9279502803e+02,3.0063033972e+02,1.6786443554e-01,-3.2252154561e-01,-1.9069268743e-01
39920.0000,-4.3635034012e+02,-3.9601232863e+02,2.9871743220e+02,1.6960798704e-01,-3.2093632378e-01,-1.9188746463e-01
39930.0000,-4.3464557247e+02,-3.9921370960e+02,2.9679261753e+02,1.7134433627e-01,-3.1933763015e-01,-1.9307411157e-01
39940.0000,-4.3292347765e+02,-4.0239903659e+02,2.9485597723e+02,1.7307341042e-01,-3.1772554335e-01,-1.9425258027e-01
39950.0000,-4.3118412876e+02,-4.0556817608e+02,2.9290759334e+02,1.7479513715e-01,-3.1610014257e-01,-1.9542282321e-01
39960.0000,-4.2942759963e+02,-4.0872099533e+02,2.9094754834e+02,1.7650944462e-01,-3.1446150752e-01,-1.9658479335e-01
