Time(s),Range(km),Range_Rate(km/s),Station_ID
1150.0,5279.83863331397,3.0342490080439655,2
1160.0,5310.277393197071,3.053218888633477,2
1170.0,5340.903672092194,3.071761257482859,2
1180.0,5371.710034837593,3.089884095114733,2
1190.0,5402.695990707606,3.1075896017912097,2
1200.0,5433.858958381047,3.124892332778389,2
1210.0,5465.195047661482,3.1417913657449446,2
1220.0,5496.693944203424,3.1582963297418774,2
1230.0,5528.35834185061,3.174412124127294,2
1240.0,5560.183298022582,3.190146742376857,2
1250.0,5592.16094898447,3.2055050403298173,2
1260.0,5624.289068080159,3.220494581527299,2
1270.0,5656.569148747726,3.235118284281372,2
1280.0,5688.991157234507,3.2493869348194018,2
1290.0,5721.555169375073,3.263302582751347,2
1300.0,5754.255288468893,3.276869692375269,2
1310.0,5787.091249221533,3.290100378526346,2
1320.0,5820.059290630052,3.3029947975807743,2
1330.0,5853.152270741352,3.3155612404101045,2
1340.0,5886.368684105844,3.3278019927133182,2
1350.0,5919.706308854308,3.33972760617974,2
1360.0,5953.162640003752,3.3513376782971,2
1370.0,5986.730693925509,3.362638807195548,2
1380.0,6020.41282822912,3.373639782045324,2
1390.0,6054.202196251856,3.384344986829764,2
1400.0,6088.097534605682,3.394759867123469,2
1410.0,6122.097605540023,3.4048836830694538,2
1420.0,6156.194104054292,3.414724518801709,2
1430.0,6190.390826489301,3.424289240826857,2
1440.0,6224.68068773144,3.433581972625283,2
1450.0,6259.061237713257,3.442605034328172,2
1460.0,6293.532407073635,3.451362346481688,2
1470.0,6328.086915284379,3.4598629587417173,2
1480.0,6362.727019009295,3.468108506428751,2
1490.0,6397.448334950524,3.476103474496084,2
1500.0,6432.249995842927,3.483851056169735,2
1510.0,6467.12589637472,3.4913566951525894,2
1520.0,6502.075689838865,3.498621649005763,2
1530.0,6537.097608795767,3.5056544593354886,2
1540.0,6572.1879183606925,3.5124543615359998,2
1550.0,6607.3466734669655,3.519030146646959,2
1560.0,6642.567244652897,3.525381845189896,2
3950.0,6643.369263564266,-3.5216566459065177,1
3960.0,6608.1803449202025,-3.515968971269763,1
3970.0,6573.049828732949,-3.5100626617056787,1
3980.0,6537.979498879642,-3.5039407476303057,1
3990.0,6502.970870016956,-3.497593322738843,1
4000.0,6468.029850193024,-3.491020044148777,1
4010.0,6433.152467564197,-3.4842166392159855,1
4020.0,6398.344341548196,-3.4771792542740942,1
4030.0,6363.609392975151,-3.4699029484504984,1
4040.0,6328.94745758404,-3.4623837200526775,1
4050.0,6294.363531600624,-3.454618818520287,1
4060.0,6259.856560640631,-3.44660182375781,1
4070.0,6225.430239149078,-3.4383309956585473,1
4080.0,6191.089354693124,-3.429798241080124,1
4090.0,6156.83801149692,-3.421004092072873,1
4100.0,6122.671530410203,-3.411938981509603,1
4110.0,6088.600021550536,-3.4026022128682967,1
4120.0,6054.619889978961,-3.392985182196929,1
4130.0,6020.738631987565,-3.3830869030415798,1
4140.0,5986.958033088748,-3.372900189885039,1
4150.0,5953.283049537408,-3.3624223024343878,1
4160.0,5919.712326326153,-3.351643425875265,1
4170.0,5886.250345784779,-3.3405635460428904,1
4180.0,5852.900737234918,-3.32917400984152,1
4190.0,5819.669543307884,-3.317471053615915,1
4200.0,5786.552808421489,-3.305447250242884,1
4210.0,5753.560176736878,-3.293098999455444,1
4220.0,5720.692896670763,-3.280422378056411,1
4230.0,5687.953440314824,-3.267408519497815,1
4240.0,5655.346397741937,-3.2540517496355914,1
4250.0,5622.87352431912,-3.2403505192896653,1
4260.0,5590.539958727365,-3.2262904274193858,1
4270.0,5558.348571698288,-3.2118756509730204,1
4280.0,5526.303071883515,-3.197089709859412,1
4290.0,5494.407883337995,-3.1819339085170255,1
4300.0,5462.666492564161,-3.1664024563431408,1
4310.0,5431.082561198726,-3.150483296630871,1
4320.0,5399.656415339916,-3.134172959226676,1
4330.0,5368.401435742878,-3.1174667132094545,1
4340.0,5337.307770866584,-3.100353199505468,1
4350.0,5306.395228004535,-3.0828319360127634,1
4360.0,5275.654412940888,-3.06488962667871,1
4370.0,5245.09702316398,-3.0465265168422127,1
4380.0,5214.7259331963005,-3.027730051609852,1
4390.0,5184.544548276303,-3.00849748536026,1
4400.0,5154.558668586336,-2.9888183912755046,1
4410.0,5124.7691359220335,-2.968689853975952,1
4420.0,5095.18555858582,-2.9481008068569614,1
4430.0,5065.80932229142,-2.927046710530304,1
4440.0,5036.645802568571,-2.905522207738477,1
4450.0,5007.701311779788,-2.8835171043112804,1
4460.0,4978.976870883331,-2.8610258843824967,1
4470.0,4950.480531726529,-2.838041799822752,1
4480.0,4922.218094839321,-2.8145564830597185,1
4490.0,4894.192546076378,-2.7905664234482623,1
4500.0,4866.408179326093,-2.7660641490027893,1
4510.0,4838.872461688591,-2.741037210309245,1
4520.0,4811.5901965987005,-2.715487606622751,1
4530.0,4784.564101839519,-2.689405733042951,1
4540.0,4757.801421787232,-2.6627819061923423,1
4550.0,4731.310115649728,-2.635612592927488,1
4560.0,4705.093122221128,-2.607891404108244,1
4570.0,4679.152687750569,-2.5796114488091955,1
